forecast_date,target,target_end_date,location,type,quantile,value,location_name
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.01,23,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.01,16.99,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.01,14,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.01,11.99,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.025,68.975,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.025,50.975,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.025,41.975,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.025,35,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.05,133,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.05,95,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.05,75,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.05,60.95,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.1,187,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.1,139,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.1,104,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.1,76,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.15,200,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.15,150,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.15,112,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.15,83,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.2,206,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.2,155,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.2,117,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.2,88,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.25,211,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.25,158,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.25,120,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.25,92,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.3,215,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.3,160.7,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.3,123,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.3,96,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.35,218,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.35,163,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.35,125,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.35,99,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.4,221,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.4,165,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.4,128,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.4,103,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.45,225,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.45,167,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.45,130,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.45,108,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.5,228,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.5,168,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.5,133,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.5,111,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.55,230,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.55,170,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.55,135,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.55,116,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.6,233,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.6,172,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.6,138,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.6,121,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.65,236,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.65,175,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.65,142,Bulgaria
2021-01-13,4 wk ahead inc death,2021-02-13,BG,quantile,0.65,127,Bulgaria
2021-01-13,1 wk ahead inc death,2021-01-23,BG,quantile,0.7,239,Bulgaria
2021-01-13,2 wk ahead inc death,2021-01-30,BG,quantile,0.7,178,Bulgaria
2021-01-13,3 wk ahead inc death,2021-02-06,BG,quantile,0.7,147,Bulgaria
