"","scenario","forecast_date","target","target_end_date","location","type","quantile","value","location_name"
"147","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.55,13644,"Belgium"
"148","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.55,14357,"Belgium"
"149","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.6,12548,"Belgium"
"150","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.6,13564,"Belgium"
"151","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.6,14424,"Belgium"
"152","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.6,15307,"Belgium"
"153","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.65,13221,"Belgium"
"154","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.65,14313,"Belgium"
"155","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.65,15411,"Belgium"
"156","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.65,16177,"Belgium"
"157","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.7,13939,"Belgium"
"158","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.7,15243,"Belgium"
"159","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.7,16279,"Belgium"
"160","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.7,17448,"Belgium"
"161","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.75,14792,"Belgium"
"162","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.75,16061,"Belgium"
"163","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.75,17219,"Belgium"
"164","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.75,18612,"Belgium"
"165","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.8,15804,"Belgium"
"166","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.8,17118,"Belgium"
"167","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.8,18372,"Belgium"
"168","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.8,19826,"Belgium"
"169","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.85,16808,"Belgium"
"170","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.85,18452,"Belgium"
"171","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.85,19875,"Belgium"
"172","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.85,21531,"Belgium"
"173","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.9,18410,"Belgium"
"174","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.9,20090,"Belgium"
"175","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.9,21754,"Belgium"
"176","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.9,23481,"Belgium"
"177","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.95,20828,"Belgium"
"178","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.95,22743,"Belgium"
"179","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.95,24762,"Belgium"
