scenario_id,forecast_date,target,target_end_date,location,type,quantile,value
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.2,2950
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.25,3086
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.3,3190
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.35,3288
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.4,3396
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.45,3499
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.5,3604
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.55,3710
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.6,3821
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.65,3929
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.7,4057
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.75,4203
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.8,4367
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.85,4555
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.9,4772
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.95,5172
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.975,5558
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FI,quantile,0.99,6052
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,point,NA,182362
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.01,79230
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.025,92011
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.05,103753
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.1,121510
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.15,132940
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.2,141641
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.25,149966
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.3,157122
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.35,162961
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.4,169625
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.45,175438
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.5,182362
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.55,188730
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.6,195361
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.65,202325
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.7,209593
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.75,217691
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.8,227169
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.85,238253
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.9,253334
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.95,274122
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.975,296191
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,FR,quantile,0.99,318690
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,point,NA,218167
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.01,149049
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.025,158223
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.05,165650
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.1,177241
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.15,184468
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.2,190119
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.25,195343
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.3,200079
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.35,204487
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.4,208911
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.45,213719
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.5,218167
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.55,222995
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.6,227183
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.65,231855
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.7,237106
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.75,243632
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.8,249639
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.85,256686
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.9,267093
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.95,281976
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.975,296391
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GB,quantile,0.99,311802
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GR,point,NA,16688
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GR,quantile,0.01,8798
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GR,quantile,0.025,9799
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GR,quantile,0.05,10619
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GR,quantile,0.1,11721
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GR,quantile,0.15,12522
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GR,quantile,0.2,13315
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GR,quantile,0.25,13966
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GR,quantile,0.3,14610
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GR,quantile,0.35,15129
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,GR,quantile,0.4,15641
