location_name,location,target_variable,date,value,source
Austria,AT,hospitaladmissions,2020-11-14,1452,ECDC
Austria,AT,ICUadmissions,2020-11-14,251,ECDC
Austria,AT,inc death,2020-11-07,397,ECDC
Austria,AT,hospitaladmissions,2020-11-07,1207,ECDC
Austria,AT,ICUadmissions,2020-11-07,153,ECDC
Austria,AT,inc death,2020-10-31,261,ECDC
Austria,AT,hospitaladmissions,2020-10-31,761,ECDC
Austria,AT,ICUadmissions,2020-10-31,93,ECDC
Austria,AT,inc death,2020-10-24,126,ECDC
Austria,AT,hospitaladmissions,2020-10-24,537,ECDC
Austria,AT,ICUadmissions,2020-10-24,74,ECDC
Austria,AT,inc death,2020-10-17,65,ECDC
Austria,AT,hospitaladmissions,2020-10-17,310,ECDC
Austria,AT,ICUadmissions,2020-10-17,71,ECDC
Austria,AT,inc death,2020-10-10,71,ECDC
Austria,AT,hospitaladmissions,2020-10-10,211,ECDC
Austria,AT,ICUadmissions,2020-10-10,45,ECDC
Austria,AT,inc death,2020-10-03,40,ECDC
Austria,AT,hospitaladmissions,2020-10-03,149,ECDC
Austria,AT,ICUadmissions,2020-10-03,22,ECDC
Austria,AT,inc death,2020-09-26,34,ECDC
Austria,AT,hospitaladmissions,2020-09-26,133,ECDC
Austria,AT,ICUadmissions,2020-09-26,20,ECDC
Austria,AT,inc death,2020-09-19,24,ECDC
Austria,AT,hospitaladmissions,2020-09-19,113,ECDC
Austria,AT,ICUadmissions,2020-09-19,15,ECDC
Austria,AT,inc death,2020-09-12,15,ECDC
Austria,AT,hospitaladmissions,2020-09-12,95,ECDC
Austria,AT,ICUadmissions,2020-09-12,13,ECDC
Austria,AT,inc death,2020-09-05,16,ECDC
Austria,AT,hospitaladmissions,2020-09-05,47,ECDC
Austria,AT,ICUadmissions,2020-09-05,6,ECDC
Austria,AT,inc death,2020-08-29,6,ECDC
Austria,AT,hospitaladmissions,2020-08-29,42,ECDC
Austria,AT,ICUadmissions,2020-08-29,13,ECDC
Austria,AT,inc death,2020-08-22,13,ECDC
Austria,AT,hospitaladmissions,2020-08-22,50,ECDC
Austria,AT,ICUadmissions,2020-08-22,21,ECDC
Austria,AT,inc death,2020-08-15,10,ECDC
Austria,AT,hospitaladmissions,2020-08-15,49,ECDC
Austria,AT,ICUadmissions,2020-08-15,16,ECDC
Austria,AT,inc death,2020-08-08,12,ECDC
Austria,AT,hospitaladmissions,2020-08-08,41,ECDC
Austria,AT,ICUadmissions,2020-08-08,13,ECDC
Austria,AT,inc death,2020-08-01,17,ECDC
Austria,AT,hospitaladmissions,2020-08-01,30,ECDC
Austria,AT,ICUadmissions,2020-08-01,12,ECDC
Austria,AT,inc death,2020-07-25,8,ECDC
Austria,AT,hospitaladmissions,2020-07-25,35,ECDC
Austria,AT,ICUadmissions,2020-07-25,9,ECDC
Austria,AT,inc death,2020-07-18,10,ECDC
Austria,AT,hospitaladmissions,2020-07-18,48,ECDC
Austria,AT,ICUadmissions,2020-07-18,13,ECDC
Austria,AT,inc death,2020-07-11,7,ECDC
Austria,AT,hospitaladmissions,2020-07-11,42,ECDC
Austria,AT,ICUadmissions,2020-07-11,7,ECDC
Austria,AT,inc death,2020-07-04,9,ECDC
Austria,AT,hospitaladmissions,2020-07-04,37,ECDC
Austria,AT,ICUadmissions,2020-07-04,7,ECDC
Austria,AT,inc death,2020-06-27,17,ECDC
Austria,AT,hospitaladmissions,2020-06-27,20,ECDC
Austria,AT,ICUadmissions,2020-06-27,2,ECDC
Austria,AT,inc death,2020-06-20,17,ECDC
Austria,AT,hospitaladmissions,2020-06-20,18,ECDC
Austria,AT,ICUadmissions,2020-06-20,1,ECDC
Austria,AT,inc death,2020-06-13,15,ECDC
Austria,AT,hospitaladmissions,2020-06-13,15,ECDC
Austria,AT,inc death,2020-06-06,15,ECDC
Austria,AT,hospitaladmissions,2020-06-06,14,ECDC
Austria,AT,inc death,2020-05-30,15,ECDC
Austria,AT,hospitaladmissions,2020-05-30,11,ECDC
Austria,AT,inc death,2020-05-23,17,ECDC
Austria,AT,hospitaladmissions,2020-05-23,17,ECDC
Austria,AT,ICUadmissions,2020-05-23,4,ECDC
Austria,AT,inc death,2020-05-16,15,ECDC
Austria,AT,hospitaladmissions,2020-05-16,15,ECDC
Austria,AT,inc death,2020-05-09,32,ECDC
Austria,AT,hospitaladmissions,2020-05-09,25,ECDC
Austria,AT,inc death,2020-05-02,51,ECDC
Austria,AT,hospitaladmissions,2020-05-02,41,ECDC
Austria,AT,ICUadmissions,2020-05-02,3,ECDC
Austria,AT,inc death,2020-04-25,78,ECDC
Austria,AT,hospitaladmissions,2020-04-25,67,ECDC
Austria,AT,ICUadmissions,2020-04-25,8,ECDC
Austria,AT,inc death,2020-04-18,120,ECDC
Austria,AT,hospitaladmissions,2020-04-18,110,ECDC
Austria,AT,ICUadmissions,2020-04-18,7,ECDC
Austria,AT,inc death,2020-04-11,150,ECDC
Austria,AT,hospitaladmissions,2020-04-11,219,ECDC
Austria,AT,ICUadmissions,2020-04-11,27,ECDC
Austria,AT,inc death,2020-04-04,126,ECDC
Austria,AT,hospitaladmissions,2020-04-04,332,ECDC
Austria,AT,ICUadmissions,2020-04-04,35,ECDC
Austria,AT,inc death,2020-03-28,101,ECDC
Austria,AT,hospitaladmissions,2020-03-28,514,ECDC
Austria,AT,ICUadmissions,2020-03-28,64,ECDC
Austria,AT,inc death,2020-03-21,30,ECDC
