forecast_data,target,target_end_date,location,type,quantile,value
2021-04-26,1 wk ahead inc case,2021-05-01,HR,quantile,0.250,11174
2021-04-26,1 wk ahead inc case,2021-05-01,HR,quantile,0.750,18445
2021-04-26,1 wk ahead inc case,2021-05-01,HR,quantile,0.975,52926
2021-04-26,2 wk ahead inc case,2021-05-08,HR,point,NA,27956
2021-04-26,2 wk ahead inc case,2021-05-08,HR,quantile,0.025,2320
2021-04-26,2 wk ahead inc case,2021-05-08,HR,quantile,0.250,15572
2021-04-26,2 wk ahead inc case,2021-05-08,HR,quantile,0.750,41375
2021-04-26,2 wk ahead inc case,2021-05-08,HR,quantile,0.975,216771
2021-04-26,1 wk ahead inc case,2021-05-01,HU,point,NA,12286
2021-04-26,1 wk ahead inc case,2021-05-01,HU,quantile,0.025,3624
2021-04-26,1 wk ahead inc case,2021-05-01,HU,quantile,0.250,9460
2021-04-26,1 wk ahead inc case,2021-05-01,HU,quantile,0.750,15616
2021-04-26,1 wk ahead inc case,2021-05-01,HU,quantile,0.975,44808
2021-04-26,2 wk ahead inc case,2021-05-08,HU,point,NA,19580
2021-04-26,2 wk ahead inc case,2021-05-08,HU,quantile,0.025,1625
2021-04-26,2 wk ahead inc case,2021-05-08,HU,quantile,0.250,10906
2021-04-26,2 wk ahead inc case,2021-05-08,HU,quantile,0.750,28979
2021-04-26,2 wk ahead inc case,2021-05-08,HU,quantile,0.975,151827
2021-04-26,1 wk ahead inc case,2021-05-01,IE,point,NA,2684
2021-04-26,1 wk ahead inc case,2021-05-01,IE,quantile,0.025,792
2021-04-26,1 wk ahead inc case,2021-05-01,IE,quantile,0.250,2067
2021-04-26,1 wk ahead inc case,2021-05-01,IE,quantile,0.750,3412
2021-04-26,1 wk ahead inc case,2021-05-01,IE,quantile,0.975,9789
2021-04-26,2 wk ahead inc case,2021-05-08,IE,point,NA,5232
2021-04-26,2 wk ahead inc case,2021-05-08,IE,quantile,0.025,434
2021-04-26,2 wk ahead inc case,2021-05-08,IE,quantile,0.250,2914
2021-04-26,2 wk ahead inc case,2021-05-08,IE,quantile,0.750,7743
2021-04-26,2 wk ahead inc case,2021-05-08,IE,quantile,0.975,40566
2021-04-26,1 wk ahead inc case,2021-05-01,IS,point,NA,163
2021-04-26,1 wk ahead inc case,2021-05-01,IS,quantile,0.025,48
2021-04-26,1 wk ahead inc case,2021-05-01,IS,quantile,0.250,125
2021-04-26,1 wk ahead inc case,2021-05-01,IS,quantile,0.750,207
2021-04-26,1 wk ahead inc case,2021-05-01,IS,quantile,0.975,593
2021-04-26,2 wk ahead inc case,2021-05-08,IS,point,NA,496
2021-04-26,2 wk ahead inc case,2021-05-08,IS,quantile,0.025,41
2021-04-26,2 wk ahead inc case,2021-05-08,IS,quantile,0.250,276
2021-04-26,2 wk ahead inc case,2021-05-08,IS,quantile,0.750,734
2021-04-26,2 wk ahead inc case,2021-05-08,IS,quantile,0.975,3843
2021-04-26,1 wk ahead inc case,2021-05-01,IT,point,NA,82935
2021-04-26,1 wk ahead inc case,2021-05-01,IT,quantile,0.025,24466
2021-04-26,1 wk ahead inc case,2021-05-01,IT,quantile,0.250,63860
2021-04-26,1 wk ahead inc case,2021-05-01,IT,quantile,0.750,105410
2021-04-26,1 wk ahead inc case,2021-05-01,IT,quantile,0.975,302463
2021-04-26,2 wk ahead inc case,2021-05-08,IT,point,NA,156832
2021-04-26,2 wk ahead inc case,2021-05-08,IT,quantile,0.025,13017
2021-04-26,2 wk ahead inc case,2021-05-08,IT,quantile,0.250,87355
2021-04-26,2 wk ahead inc case,2021-05-08,IT,quantile,0.750,232111
2021-04-26,2 wk ahead inc case,2021-05-08,IT,quantile,0.975,1216073
2021-04-26,1 wk ahead inc case,2021-05-01,LI,point,NA,103
2021-04-26,1 wk ahead inc case,2021-05-01,LI,quantile,0.025,30
2021-04-26,1 wk ahead inc case,2021-05-01,LI,quantile,0.250,79
2021-04-26,1 wk ahead inc case,2021-05-01,LI,quantile,0.750,131
2021-04-26,1 wk ahead inc case,2021-05-01,LI,quantile,0.975,376
2021-04-26,2 wk ahead inc case,2021-05-08,LI,point,NA,220
2021-04-26,2 wk ahead inc case,2021-05-08,LI,quantile,0.025,18
2021-04-26,2 wk ahead inc case,2021-05-08,LI,quantile,0.250,123
2021-04-26,2 wk ahead inc case,2021-05-08,LI,quantile,0.750,326
2021-04-26,2 wk ahead inc case,2021-05-08,LI,quantile,0.975,1706
2021-04-26,1 wk ahead inc case,2021-05-01,LT,point,NA,7857
2021-04-26,1 wk ahead inc case,2021-05-01,LT,quantile,0.025,2318
2021-04-26,1 wk ahead inc case,2021-05-01,LT,quantile,0.250,6050
2021-04-26,1 wk ahead inc case,2021-05-01,LT,quantile,0.750,9986
2021-04-26,1 wk ahead inc case,2021-05-01,LT,quantile,0.975,28654
2021-04-26,2 wk ahead inc case,2021-05-08,LT,point,NA,15802
2021-04-26,2 wk ahead inc case,2021-05-08,LT,quantile,0.025,1312
2021-04-26,2 wk ahead inc case,2021-05-08,LT,quantile,0.250,8802
2021-04-26,2 wk ahead inc case,2021-05-08,LT,quantile,0.750,23387
2021-04-26,2 wk ahead inc case,2021-05-08,LT,quantile,0.975,122531
2021-04-26,1 wk ahead inc case,2021-05-01,LU,point,NA,568
2021-04-26,1 wk ahead inc case,2021-05-01,LU,quantile,0.025,168
2021-04-26,1 wk ahead inc case,2021-05-01,LU,quantile,0.250,438
2021-04-26,1 wk ahead inc case,2021-05-01,LU,quantile,0.750,722
2021-04-26,1 wk ahead inc case,2021-05-01,LU,quantile,0.975,2073
2021-04-26,2 wk ahead inc case,2021-05-08,LU,point,NA,952
2021-04-26,2 wk ahead inc case,2021-05-08,LU,quantile,0.025,79
2021-04-26,2 wk ahead inc case,2021-05-08,LU,quantile,0.250,530
2021-04-26,2 wk ahead inc case,2021-05-08,LU,quantile,0.750,1409
2021-04-26,2 wk ahead inc case,2021-05-08,LU,quantile,0.975,7380
2021-04-26,1 wk ahead inc case,2021-05-01,LV,point,NA,4254
2021-04-26,1 wk ahead inc case,2021-05-01,LV,quantile,0.025,1255
2021-04-26,1 wk ahead inc case,2021-05-01,LV,quantile,0.250,3276
2021-04-26,1 wk ahead inc case,2021-05-01,LV,quantile,0.750,5407
2021-04-26,1 wk ahead inc case,2021-05-01,LV,quantile,0.975,15515
2021-04-26,2 wk ahead inc case,2021-05-08,LV,point,NA,8731
2021-04-26,2 wk ahead inc case,2021-05-08,LV,quantile,0.025,725
2021-04-26,2 wk ahead inc case,2021-05-08,LV,quantile,0.250,4863
2021-04-26,2 wk ahead inc case,2021-05-08,LV,quantile,0.750,12922
2021-04-26,2 wk ahead inc case,2021-05-08,LV,quantile,0.975,67698
2021-04-26,1 wk ahead inc case,2021-05-01,MT,point,NA,99
2021-04-26,1 wk ahead inc case,2021-05-01,MT,quantile,0.025,29
2021-04-26,1 wk ahead inc case,2021-05-01,MT,quantile,0.250,76
2021-04-26,1 wk ahead inc case,2021-05-01,MT,quantile,0.750,126
2021-04-26,1 wk ahead inc case,2021-05-01,MT,quantile,0.975,361
2021-04-26,2 wk ahead inc case,2021-05-08,MT,point,NA,136
2021-04-26,2 wk ahead inc case,2021-05-08,MT,quantile,0.025,11
2021-04-26,2 wk ahead inc case,2021-05-08,MT,quantile,0.250,76
2021-04-26,2 wk ahead inc case,2021-05-08,MT,quantile,0.750,201
2021-04-26,2 wk ahead inc case,2021-05-08,MT,quantile,0.975,1052
2021-04-26,1 wk ahead inc case,2021-05-01,NL,point,NA,63149
2021-04-26,1 wk ahead inc case,2021-05-01,NL,quantile,0.025,18629
2021-04-26,1 wk ahead inc case,2021-05-01,NL,quantile,0.250,48625
2021-04-26,1 wk ahead inc case,2021-05-01,NL,quantile,0.750,80262
2021-04-26,1 wk ahead inc case,2021-05-01,NL,quantile,0.975,230304
2021-04-26,2 wk ahead inc case,2021-05-08,NL,point,NA,131626
2021-04-26,2 wk ahead inc case,2021-05-08,NL,quantile,0.025,10925
2021-04-26,2 wk ahead inc case,2021-05-08,NL,quantile,0.250,73316
2021-04-26,2 wk ahead inc case,2021-05-08,NL,quantile,0.750,194807
2021-04-26,2 wk ahead inc case,2021-05-08,NL,quantile,0.975,1020632
2021-04-26,1 wk ahead inc case,2021-05-01,NO,point,NA,2289
2021-04-26,1 wk ahead inc case,2021-05-01,NO,quantile,0.025,675
2021-04-26,1 wk ahead inc case,2021-05-01,NO,quantile,0.250,1762
2021-04-26,1 wk ahead inc case,2021-05-01,NO,quantile,0.750,2909
2021-04-26,1 wk ahead inc case,2021-05-01,NO,quantile,0.975,8347
2021-04-26,2 wk ahead inc case,2021-05-08,NO,point,NA,3834
2021-04-26,2 wk ahead inc case,2021-05-08,NO,quantile,0.025,318
2021-04-26,2 wk ahead inc case,2021-05-08,NO,quantile,0.250,2135
2021-04-26,2 wk ahead inc case,2021-05-08,NO,quantile,0.750,5674
2021-04-26,2 wk ahead inc case,2021-05-08,NO,quantile,0.975,29726
2021-04-26,1 wk ahead inc case,2021-05-01,PL,point,NA,43275
2021-04-26,1 wk ahead inc case,2021-05-01,PL,quantile,0.025,12766
2021-04-26,1 wk ahead inc case,2021-05-01,PL,quantile,0.250,33322
2021-04-26,1 wk ahead inc case,2021-05-01,PL,quantile,0.750,55003
2021-04-26,1 wk ahead inc case,2021-05-01,PL,quantile,0.975,157824
2021-04-26,2 wk ahead inc case,2021-05-08,PL,point,NA,66685
2021-04-26,2 wk ahead inc case,2021-05-08,PL,quantile,0.025,5535
2021-04-26,2 wk ahead inc case,2021-05-08,PL,quantile,0.250,37144
2021-04-26,2 wk ahead inc case,2021-05-08,PL,quantile,0.750,98694
2021-04-26,2 wk ahead inc case,2021-05-08,PL,quantile,0.975,517079
