forecast_data;target;target_end_date;location;type;quantile;value
26/4/2021;2 wk ahead inc case;8/5/2021;LT;quantile;0.250;8837
26/4/2021;2 wk ahead inc case;8/5/2021;LT;quantile;0.750;23481
26/4/2021;2 wk ahead inc case;8/5/2021;LT;quantile;0.975;123020
26/4/2021;1 wk ahead inc case;1/5/2021;LU;point;NA;628
26/4/2021;1 wk ahead inc case;1/5/2021;LU;quantile;0.025;185
26/4/2021;1 wk ahead inc case;1/5/2021;LU;quantile;0.250;484
26/4/2021;1 wk ahead inc case;1/5/2021;LU;quantile;0.750;798
26/4/2021;1 wk ahead inc case;1/5/2021;LU;quantile;0.975;2290
26/4/2021;2 wk ahead inc case;8/5/2021;LU;point;NA;1079
26/4/2021;2 wk ahead inc case;8/5/2021;LU;quantile;0.025;90
26/4/2021;2 wk ahead inc case;8/5/2021;LU;quantile;0.250;601
26/4/2021;2 wk ahead inc case;8/5/2021;LU;quantile;0.750;1598
26/4/2021;2 wk ahead inc case;8/5/2021;LU;quantile;0.975;8370
26/4/2021;1 wk ahead inc case;1/5/2021;LV;point;NA;4260
26/4/2021;1 wk ahead inc case;1/5/2021;LV;quantile;0.025;1257
26/4/2021;1 wk ahead inc case;1/5/2021;LV;quantile;0.250;3280
26/4/2021;1 wk ahead inc case;1/5/2021;LV;quantile;0.750;5415
26/4/2021;1 wk ahead inc case;1/5/2021;LV;quantile;0.975;15536
26/4/2021;2 wk ahead inc case;8/5/2021;LV;point;NA;8758
26/4/2021;2 wk ahead inc case;8/5/2021;LV;quantile;0.025;727
26/4/2021;2 wk ahead inc case;8/5/2021;LV;quantile;0.250;4878
26/4/2021;2 wk ahead inc case;8/5/2021;LV;quantile;0.750;12962
26/4/2021;2 wk ahead inc case;8/5/2021;LV;quantile;0.975;67909
26/4/2021;1 wk ahead inc case;1/5/2021;MT;point;NA;115
26/4/2021;1 wk ahead inc case;1/5/2021;MT;quantile;0.025;34
26/4/2021;1 wk ahead inc case;1/5/2021;MT;quantile;0.250;88
26/4/2021;1 wk ahead inc case;1/5/2021;MT;quantile;0.750;146
26/4/2021;1 wk ahead inc case;1/5/2021;MT;quantile;0.975;418
26/4/2021;2 wk ahead inc case;8/5/2021;MT;point;NA;166
26/4/2021;2 wk ahead inc case;8/5/2021;MT;quantile;0.025;14
26/4/2021;2 wk ahead inc case;8/5/2021;MT;quantile;0.250;92
26/4/2021;2 wk ahead inc case;8/5/2021;MT;quantile;0.750;245
26/4/2021;2 wk ahead inc case;8/5/2021;MT;quantile;0.975;1286
26/4/2021;1 wk ahead inc case;1/5/2021;NL;point;NA;55110
26/4/2021;1 wk ahead inc case;1/5/2021;NL;quantile;0.025;16257
26/4/2021;1 wk ahead inc case;1/5/2021;NL;quantile;0.250;42434
26/4/2021;1 wk ahead inc case;1/5/2021;NL;quantile;0.750;70044
26/4/2021;1 wk ahead inc case;1/5/2021;NL;quantile;0.975;200985
26/4/2021;2 wk ahead inc case;8/5/2021;NL;point;NA;102700
26/4/2021;2 wk ahead inc case;8/5/2021;NL;quantile;0.025;8524
26/4/2021;2 wk ahead inc case;8/5/2021;NL;quantile;0.250;57204
26/4/2021;2 wk ahead inc case;8/5/2021;NL;quantile;0.750;151996
26/4/2021;2 wk ahead inc case;8/5/2021;NL;quantile;0.975;796337
26/4/2021;1 wk ahead inc case;1/5/2021;NO;point;NA;2544
26/4/2021;1 wk ahead inc case;1/5/2021;NO;quantile;0.025;750
26/4/2021;1 wk ahead inc case;1/5/2021;NO;quantile;0.250;1959
26/4/2021;1 wk ahead inc case;1/5/2021;NO;quantile;0.750;3233
26/4/2021;1 wk ahead inc case;1/5/2021;NO;quantile;0.975;9277
26/4/2021;2 wk ahead inc case;8/5/2021;NO;point;NA;4553
26/4/2021;2 wk ahead inc case;8/5/2021;NO;quantile;0.025;378
26/4/2021;2 wk ahead inc case;8/5/2021;NO;quantile;0.250;2536
26/4/2021;2 wk ahead inc case;8/5/2021;NO;quantile;0.750;6738
26/4/2021;2 wk ahead inc case;8/5/2021;NO;quantile;0.975;35302
26/4/2021;1 wk ahead inc case;1/5/2021;PL;point;NA;45440
26/4/2021;1 wk ahead inc case;1/5/2021;PL;quantile;0.025;13405
26/4/2021;1 wk ahead inc case;1/5/2021;PL;quantile;0.250;34989
26/4/2021;1 wk ahead inc case;1/5/2021;PL;quantile;0.750;57754
26/4/2021;1 wk ahead inc case;1/5/2021;PL;quantile;0.975;165720
26/4/2021;2 wk ahead inc case;8/5/2021;PL;point;NA;71881
26/4/2021;2 wk ahead inc case;8/5/2021;PL;quantile;0.025;5966
26/4/2021;2 wk ahead inc case;8/5/2021;PL;quantile;0.250;40038
26/4/2021;2 wk ahead inc case;8/5/2021;PL;quantile;0.750;106384
26/4/2021;2 wk ahead inc case;8/5/2021;PL;quantile;0.975;557368
26/4/2021;1 wk ahead inc case;1/5/2021;PT;point;NA;3469
26/4/2021;1 wk ahead inc case;1/5/2021;PT;quantile;0.025;1023
26/4/2021;1 wk ahead inc case;1/5/2021;PT;quantile;0.250;2671
26/4/2021;1 wk ahead inc case;1/5/2021;PT;quantile;0.750;4409
26/4/2021;1 wk ahead inc case;1/5/2021;PT;quantile;0.975;12651
26/4/2021;2 wk ahead inc case;8/5/2021;PT;point;NA;6722
26/4/2021;2 wk ahead inc case;8/5/2021;PT;quantile;0.025;558
26/4/2021;2 wk ahead inc case;8/5/2021;PT;quantile;0.250;3744
26/4/2021;2 wk ahead inc case;8/5/2021;PT;quantile;0.750;9949
26/4/2021;2 wk ahead inc case;8/5/2021;PT;quantile;0.975;52123
26/4/2021;1 wk ahead inc case;1/5/2021;RO;point;NA;13116
26/4/2021;1 wk ahead inc case;1/5/2021;RO;quantile;0.025;3869
26/4/2021;1 wk ahead inc case;1/5/2021;RO;quantile;0.250;10099
26/4/2021;1 wk ahead inc case;1/5/2021;RO;quantile;0.750;16671
26/4/2021;1 wk ahead inc case;1/5/2021;RO;quantile;0.975;47834
26/4/2021;2 wk ahead inc case;8/5/2021;RO;point;NA;22658
26/4/2021;2 wk ahead inc case;8/5/2021;RO;quantile;0.025;1881
26/4/2021;2 wk ahead inc case;8/5/2021;RO;quantile;0.250;12620
26/4/2021;2 wk ahead inc case;8/5/2021;RO;quantile;0.750;33533
26/4/2021;2 wk ahead inc case;8/5/2021;RO;quantile;0.975;175688
26/4/2021;1 wk ahead inc case;1/5/2021;SE;point;NA;7046
26/4/2021;1 wk ahead inc case;1/5/2021;SE;quantile;0.025;2078
26/4/2021;1 wk ahead inc case;1/5/2021;SE;quantile;0.250;5425
26/4/2021;1 wk ahead inc case;1/5/2021;SE;quantile;0.750;8955
26/4/2021;1 wk ahead inc case;1/5/2021;SE;quantile;0.975;25695
26/4/2021;2 wk ahead inc case;8/5/2021;SE;point;NA;9763
26/4/2021;2 wk ahead inc case;8/5/2021;SE;quantile;0.025;810
26/4/2021;2 wk ahead inc case;8/5/2021;SE;quantile;0.250;5438
26/4/2021;2 wk ahead inc case;8/5/2021;SE;quantile;0.750;14449
26/4/2021;2 wk ahead inc case;8/5/2021;SE;quantile;0.975;75701
26/4/2021;1 wk ahead inc case;1/5/2021;SI;point;NA;4534
26/4/2021;1 wk ahead inc case;1/5/2021;SI;quantile;0.025;1337
26/4/2021;1 wk ahead inc case;1/5/2021;SI;quantile;0.250;3491
26/4/2021;1 wk ahead inc case;1/5/2021;SI;quantile;0.750;5762
26/4/2021;1 wk ahead inc case;1/5/2021;SI;quantile;0.975;16534
26/4/2021;2 wk ahead inc case;8/5/2021;SI;point;NA;8561
26/4/2021;2 wk ahead inc case;8/5/2021;SI;quantile;0.025;711
26/4/2021;2 wk ahead inc case;8/5/2021;SI;quantile;0.250;4769
26/4/2021;2 wk ahead inc case;8/5/2021;SI;quantile;0.750;12671
26/4/2021;2 wk ahead inc case;8/5/2021;SI;quantile;0.975;66383
26/4/2021;1 wk ahead inc case;1/5/2021;SK;point;NA;3239
26/4/2021;1 wk ahead inc case;1/5/2021;SK;quantile;0.025;955
26/4/2021;1 wk ahead inc case;1/5/2021;SK;quantile;0.250;2494
26/4/2021;1 wk ahead inc case;1/5/2021;SK;quantile;0.750;4116
26/4/2021;1 wk ahead inc case;1/5/2021;SK;quantile;0.975;11811
26/4/2021;2 wk ahead inc case;8/5/2021;SK;point;NA;5787
26/4/2021;2 wk ahead inc case;8/5/2021;SK;quantile;0.025;480
26/4/2021;2 wk ahead inc case;8/5/2021;SK;quantile;0.250;3224
26/4/2021;2 wk ahead inc case;8/5/2021;SK;quantile;0.750;8565
26/4/2021;2 wk ahead inc case;8/5/2021;SK;quantile;0.975;44875
