model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
LANL-GrowthRate,inc case,3,AT,0.63,0.64,0.37,0.79,0.13,19,1,Austria
MUNI-ARIMA,inc case,3,AT,0.26,0.63,0.82,1,-0.11,11,1,Austria
RobertWalraven-ESG,inc case,3,AT,0.56,0.75,0.45,0.7,-0.35,20,1,Austria
USC-SIkJalpha,inc case,3,AT,0.72,1.05,0.15,0.2,0.38,20,1,Austria
UVA-Ensemble,inc case,3,AT,0.98,NA,0.44,0.78,NA,18,1,Austria
epiforecasts-EpiNow2,inc case,3,AT,1.23,1.66,0.25,0.55,0.12,20,1,Austria
EuroCOVIDhub-baseline,inc case,4,AT,1,1,0.47,1,0.33,19,1,Austria
EuroCOVIDhub-ensemble,inc case,4,AT,0.91,0.99,0.21,0.74,0.41,19,1,Austria
IEM_Health-CovidProject,inc case,4,AT,1.2,1.25,0.16,0.42,0.45,19,1,Austria
ILM-EKF,inc case,4,AT,1.06,1.07,0.37,0.79,0.15,19,1,Austria
LANL-GrowthRate,inc case,4,AT,0.74,0.76,0.22,0.72,0.27,18,1,Austria
MUNI-ARIMA,inc case,4,AT,0.25,0.66,0.7,1,-0.19,10,1,Austria
RobertWalraven-ESG,inc case,4,AT,0.52,0.74,0.42,0.68,-0.4,19,1,Austria
USC-SIkJalpha,inc case,4,AT,0.75,1,0.26,0.32,0.36,19,1,Austria
UVA-Ensemble,inc case,4,AT,1.09,NA,0.25,0.56,NA,16,1,Austria
epiforecasts-EpiNow2,inc case,4,AT,1.2,1.65,0.32,0.68,0.1,19,1,Austria
LANL-GrowthRate,inc case,5,AT,NA,NA,0.18,0.53,0.38,17,1,Austria
USC-SIkJalpha,inc case,5,AT,NA,NA,0.11,0.17,0.35,18,1,Austria
EuroCOVIDhub-baseline,inc death,1,AT,1,1,0.5,1,0.18,22,1,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,0.7,0.58,0.73,1,0.12,22,1,Austria
IEM_Health-CovidProject,inc death,1,AT,1.04,0.83,0.5,0.95,0.13,22,1,Austria
ILM-EKF,inc death,1,AT,0.79,1.09,0.95,1,0.1,22,1,Austria
Karlen-pypm,inc death,1,AT,0.27,0.67,0.25,1,0.34,4,1,Austria
LANL-GrowthRate,inc death,1,AT,0.84,0.72,0.29,0.9,0.16,21,1,Austria
MUNI-ARIMA,inc death,1,AT,0.75,0.97,0.64,1,0.05,14,1,Austria
RobertWalraven-ESG,inc death,1,AT,0.77,0.66,0.45,1,0.03,22,1,Austria
SDSC_ISG-TrendModel,inc death,1,AT,0.81,NA,NA,NA,NA,19,1,Austria
UMass-MechBayes,inc death,1,AT,0.54,0.55,0.53,1,-0.04,19,1,Austria
USC-SIkJalpha,inc death,1,AT,0.95,0.96,0.32,0.41,0.3,22,1,Austria
USyd-OneModelMan,inc death,1,AT,0.64,NA,NA,NA,NA,19,1,Austria
epiforecasts-EpiNow2,inc death,1,AT,0.89,0.66,0.55,1,0.19,22,1,Austria
EuroCOVIDhub-baseline,inc death,2,AT,1,1,0.62,1,0.2,21,1,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,0.53,0.46,0.71,1,0.25,21,1,Austria
IEM_Health-CovidProject,inc death,2,AT,0.89,0.83,0.38,0.95,0.26,21,1,Austria
ILM-EKF,inc death,2,AT,0.68,0.8,0.95,1,0.16,21,1,Austria
LANL-GrowthRate,inc death,2,AT,0.67,0.61,0.05,0.75,0.08,20,1,Austria
MUNI-ARIMA,inc death,2,AT,0.66,0.86,0.62,1,0.12,13,1,Austria
RobertWalraven-ESG,inc death,2,AT,0.7,0.59,0.57,0.95,0.03,21,1,Austria
UMass-MechBayes,inc death,2,AT,0.37,0.39,0.61,1,0.01,18,1,Austria
USC-SIkJalpha,inc death,2,AT,0.61,0.77,0.24,0.29,0.4,21,1,Austria
USyd-OneModelMan,inc death,2,AT,0.73,NA,NA,NA,NA,18,1,Austria
epiforecasts-EpiNow2,inc death,2,AT,0.74,0.61,0.43,0.95,0.28,21,1,Austria
EuroCOVIDhub-baseline,inc death,3,AT,1,1,0.65,1,0.24,20,1,Austria
EuroCOVIDhub-ensemble,inc death,3,AT,0.42,0.45,0.55,1,0.38,20,1,Austria
IEM_Health-CovidProject,inc death,3,AT,1.05,0.93,0.4,0.8,0.32,20,1,Austria
ILM-EKF,inc death,3,AT,0.75,0.7,0.8,1,0.19,20,1,Austria
LANL-GrowthRate,inc death,3,AT,0.61,0.54,0.26,0.79,0.18,19,1,Austria
MUNI-ARIMA,inc death,3,AT,0.37,0.79,0.73,1,0.07,11,1,Austria
RobertWalraven-ESG,inc death,3,AT,0.59,0.51,0.55,0.95,-0.01,20,1,Austria
UMass-MechBayes,inc death,3,AT,0.35,0.36,0.53,0.94,0.07,17,1,Austria
USC-SIkJalpha,inc death,3,AT,0.69,0.87,0.15,0.25,0.77,20,1,Austria
USyd-OneModelMan,inc death,3,AT,0.87,NA,NA,NA,NA,17,1,Austria
epiforecasts-EpiNow2,inc death,3,AT,0.75,0.77,0.4,0.9,0.35,20,1,Austria
EuroCOVIDhub-baseline,inc death,4,AT,1,1,0.63,1,0.29,19,1,Austria
EuroCOVIDhub-ensemble,inc death,4,AT,0.53,0.49,0.58,0.95,0.4,19,1,Austria
IEM_Health-CovidProject,inc death,4,AT,1.2,1.02,0.37,0.79,0.4,19,1,Austria
ILM-EKF,inc death,4,AT,0.92,0.71,0.53,1,0.23,19,1,Austria
LANL-GrowthRate,inc death,4,AT,0.62,0.55,0.44,0.67,0.27,18,1,Austria
MUNI-ARIMA,inc death,4,AT,0.37,0.94,0.8,1,0.1,10,1,Austria
RobertWalraven-ESG,inc death,4,AT,0.69,0.53,0.53,0.89,-0.04,19,1,Austria
UMass-MechBayes,inc death,4,AT,0.36,0.31,0.56,1,-0.03,16,1,Austria
USC-SIkJalpha,inc death,4,AT,0.7,0.74,0.32,0.42,0.53,19,1,Austria
USyd-OneModelMan,inc death,4,AT,1.17,NA,NA,NA,NA,16,1,Austria
epiforecasts-EpiNow2,inc death,4,AT,0.98,0.8,0.53,0.95,0.26,19,1,Austria
LANL-GrowthRate,inc death,5,AT,NA,NA,0.24,0.65,0.27,17,1,Austria
USC-SIkJalpha,inc death,5,AT,NA,NA,0.22,0.39,0.45,18,1,Austria
BIOCOMSC-Gompertz,inc case,1,BE,0.85,NA,0.4,1,NA,15,1,Belgium
EuroCOVIDhub-baseline,inc case,1,BE,1,1,0.36,1,0.02,22,1,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,0.88,0.88,0.45,0.95,0.02,22,1,Belgium
IEM_Health-CovidProject,inc case,1,BE,1.04,0.94,0.45,0.95,0.06,22,1,Belgium
ILM-EKF,inc case,1,BE,1.05,0.96,0.41,0.86,0.03,22,1,Belgium
Karlen-pypm,inc case,1,BE,1.07,1.59,0.75,1,0.42,4,1,Belgium
LANL-GrowthRate,inc case,1,BE,0.91,1.08,0.57,0.9,-0.4,21,1,Belgium
MUNI-ARIMA,inc case,1,BE,1.36,2.05,0.14,0.79,-0.04,14,1,Belgium
RobertWalraven-ESG,inc case,1,BE,1.1,1.13,0.27,0.82,0.03,22,1,Belgium
SDSC_ISG-TrendModel,inc case,1,BE,0.92,NA,NA,NA,NA,19,1,Belgium
USC-SIkJalpha,inc case,1,BE,1.03,1.16,0.41,0.5,-0.01,22,1,Belgium
UVA-Ensemble,inc case,1,BE,1.43,NA,0.29,0.71,NA,21,1,Belgium
epiforecasts-EpiNow2,inc case,1,BE,1,1.13,0.55,0.77,0.01,22,1,Belgium
BIOCOMSC-Gompertz,inc case,2,BE,0.61,NA,0.5,1,NA,14,1,Belgium
EuroCOVIDhub-baseline,inc case,2,BE,1,1,0.33,1,0.1,21,1,Belgium
EuroCOVIDhub-ensemble,inc case,2,BE,0.91,0.92,0.52,0.9,0.07,21,1,Belgium
IEM_Health-CovidProject,inc case,2,BE,1.19,1.07,0.24,0.81,0.18,21,1,Belgium
ILM-EKF,inc case,2,BE,1.13,1.13,0.43,0.81,0.07,21,1,Belgium
LANL-GrowthRate,inc case,2,BE,0.89,0.9,0.55,0.9,-0.32,20,1,Belgium
MUNI-ARIMA,inc case,2,BE,1.08,1.63,0.46,0.85,0.02,13,1,Belgium
RobertWalraven-ESG,inc case,2,BE,0.9,1.11,0.29,0.76,0.17,21,1,Belgium
USC-SIkJalpha,inc case,2,BE,0.82,1.07,0.38,0.48,0,21,1,Belgium
UVA-Ensemble,inc case,2,BE,1.12,NA,0.3,0.8,NA,20,1,Belgium
epiforecasts-EpiNow2,inc case,2,BE,1.06,1.16,0.52,0.71,0.01,21,1,Belgium
EuroCOVIDhub-baseline,inc case,3,BE,1,1,0.4,1,0.14,20,1,Belgium
EuroCOVIDhub-ensemble,inc case,3,BE,1.06,1.11,0.45,0.85,0.14,20,1,Belgium
IEM_Health-CovidProject,inc case,3,BE,1.39,1.32,0.25,0.75,0.27,20,1,Belgium
ILM-EKF,inc case,3,BE,1.38,1.41,0.35,0.8,0.08,20,1,Belgium
LANL-GrowthRate,inc case,3,BE,0.93,0.97,0.47,0.74,-0.2,19,1,Belgium
MUNI-ARIMA,inc case,3,BE,1.09,1.5,0.36,0.91,-0.05,11,1,Belgium
RobertWalraven-ESG,inc case,3,BE,0.86,1.15,0.25,0.75,0.11,20,1,Belgium
USC-SIkJalpha,inc case,3,BE,0.81,1.16,0.4,0.4,0.03,20,1,Belgium
UVA-Ensemble,inc case,3,BE,0.93,NA,0.39,0.67,NA,18,1,Belgium
epiforecasts-EpiNow2,inc case,3,BE,1.17,1.29,0.45,0.75,0.06,20,1,Belgium
EuroCOVIDhub-baseline,inc case,4,BE,1,1,0.32,1,0.15,19,1,Belgium
