model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-ensemble,inc case,4,BE,5914,2747,1169,1998,1.15,8327,1,0.45,0.86,0.17,1,22,Belgium
EuroCOVIDhub-mean,inc case,4,BE,6135,2878,1166,2091,1.23,8700,1.09,0.41,0.86,0.2,1,22,Belgium
EuroCOVIDhub-median,inc case,4,BE,5752,2427,1322,2003,1.09,8357,0.95,0.5,0.82,0.09,1,22,Belgium
IEM_Health-CovidProject,inc case,4,BE,7595,2421,1360,3814,1.39,11713,1.34,0.27,0.73,0.19,1,22,Belgium
ILM-EKF,inc case,4,BE,8591,3486,1476,3629,1.73,12604,1.59,0.41,0.86,0.16,1,22,Belgium
LANL-GrowthRate,inc case,4,BE,4260,1655,1621,984,0.92,6636,0.91,0.43,0.81,-0.11,1,21,Belgium
USC-SIkJalpha,inc case,4,BE,5337,1039,2749,1549,1.21,6184,0.86,0.32,0.36,0,1,22,Belgium
epiforecasts-EpiNow2,inc case,4,BE,7133,3277,1598,2259,1.51,8993,1.05,0.55,0.73,0.09,1,22,Belgium
EuroCOVIDhub-relative_skill_weighted_mean,inc case,1,BE,1603,832,436,335,0.97,2275,1,0.52,0.9,-0.05,1,21,Belgium
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,1,BE,1614,830,419,365,0.98,2239,0.98,0.57,0.9,-0.03,1,21,Belgium
EuroCOVIDhub-relative_skill_weighted_median,inc case,1,BE,1591,757,387,447,0.96,2316,1.01,0.48,0.9,-0.03,1,21,Belgium
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,1,BE,1557,758,360,439,0.94,2223,0.97,0.48,0.9,-0.02,1,21,Belgium
LANL-GrowthRate,inc case,5,BE,4869,1803,1555,1511,NA,7676,NA,0.3,0.75,-0.04,1,20,Belgium
USC-SIkJalpha,inc case,5,BE,5788,1219,3129,1439,NA,6625,NA,0.29,0.38,-0.12,1,21,Belgium
EuroCOVIDhub-relative_skill_weighted_mean,inc case,2,BE,2344,1155,658,531,0.96,3143,0.9,0.55,0.9,0.04,1,20,Belgium
EuroCOVIDhub-relative_skill_weighted_median,inc case,2,BE,2350,1093,701,555,0.96,3192,0.9,0.6,0.85,0.01,1,20,Belgium
LANL-GrowthRate,inc case,6,BE,5673,2038,1581,2054,NA,9224,NA,0.32,0.79,0.02,1,19,Belgium
EuroCOVIDhub-relative_skill_weighted_mean,inc case,3,BE,3195,1503,950,742,1.04,4220,0.89,0.47,0.84,0.06,1,19,Belgium
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,2,BE,2129,1077,670,381,0.95,2696,0.86,0.58,0.89,0.02,1,19,Belgium
EuroCOVIDhub-relative_skill_weighted_median,inc case,3,BE,3204,1390,1091,724,1.02,4205,0.89,0.58,0.84,-0,1,19,Belgium
