model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
USC-SIkJalpha,inc death,1,FI,5,2,2,1,0.97,1.13,0.25,1,-0.17,1,4,Finland
epiforecasts-EpiNow2,inc death,1,FI,6,3,1,2,1.05,1.27,0.25,1,0.32,1,4,Finland
EuroCOVIDhub-baseline,inc case,1,FR,23507,2614,17556,3337,1,1,0,1,-0.45,1,4,France
EuroCOVIDhub-ensemble,inc case,1,FR,26361,9245,13769,3347,1.12,1.32,0.25,1,-0.32,1,4,France
IEM_Health-CovidProject,inc case,1,FR,33845,17482,13377,2986,1.44,1.64,0.75,1,-0.28,1,4,France
ILM-EKF,inc case,1,FR,44712,6637,25942,12133,1.9,1.88,0.25,0.5,-0.33,1,4,France
LANL-GrowthRate,inc case,1,FR,33715,15706,16545,1464,1.43,1.78,0.5,1,-0.38,1,4,France
UNIPV-BayesINGARCHX,inc case,1,FR,23729,2698,9093,11939,1.01,0.96,0,0,0,1,4,France
USC-SIkJalpha,inc case,1,FR,32565,8311,24254,0,1.39,1.22,0.5,0.75,-0.55,1,4,France
epiforecasts-EpiExpert,inc case,1,FR,25556,3978,13264,8313,1.09,1.15,0,0.5,-0.44,1,4,France
epiforecasts-EpiNow2,inc case,1,FR,27946,10177,14124,3646,1.19,1.47,0.25,1,-0.35,1,4,France
EuroCOVIDhub-baseline,inc death,1,FR,227,57,62,109,1,1,0.25,1,0.05,1,4,France
EuroCOVIDhub-ensemble,inc death,1,FR,209,97,52,61,0.92,0.97,0.25,1,0.12,1,4,France
IEM_Health-CovidProject,inc death,1,FR,290,178,108,5,1.28,1.14,0.75,1,-0.2,1,4,France
ILM-EKF,inc death,1,FR,327,117,80,130,1.44,1.43,0.5,1,0.16,1,4,France
LANL-GrowthRate,inc death,1,FR,105,42,27,36,0.46,0.49,0.25,1,0.3,1,4,France
RobertWalraven-ESG,inc death,1,FR,281,66,184,30,1.23,1.15,0.25,0.75,-0.3,1,4,France
USC-SIkJalpha,inc death,1,FR,269,104,83,82,1.18,0.91,0.5,0.5,0.07,1,4,France
epiforecasts-EpiExpert,inc death,1,FR,384,32,76,276,1.69,1.36,0,0.25,0.1,1,4,France
epiforecasts-EpiNow2,inc death,1,FR,404,117,2,285,1.78,1.48,0.25,0.5,0.7,1,4,France
EuroCOVIDhub-baseline,inc case,1,GB,3795,2341,12,1443,1,1,0.75,1,0.38,1,4,United Kingdom
EuroCOVIDhub-ensemble,inc case,1,GB,2858,1340,858,659,0.75,1.18,0.5,1,-0.1,1,4,United Kingdom
IEM_Health-CovidProject,inc case,1,GB,3514,1592,1450,472,0.93,1.62,0.25,1,-0.28,1,4,United Kingdom
ILM-EKF,inc case,1,GB,4156,1513,1650,993,1.1,1.69,0.5,1,-0.17,1,4,United Kingdom
LANL-GrowthRate,inc case,1,GB,4132,888,2622,622,1.09,1.7,0,0.75,-0.41,1,4,United Kingdom
USC-SIkJalpha,inc case,1,GB,2689,2068,133,488,0.71,0.92,1,1,-0.02,1,4,United Kingdom
epiforecasts-EpiExpert,inc case,1,GB,4212,1034,584,2594,1.11,1.63,0.25,0.75,0.35,1,4,United Kingdom
epiforecasts-EpiNow2,inc case,1,GB,3056,936,1576,544,0.81,1.08,0.5,0.75,0.02,1,4,United Kingdom
EuroCOVIDhub-baseline,inc death,1,GB,238,82,0,156,1,1,0.5,1,0.6,1,4,United Kingdom
EuroCOVIDhub-ensemble,inc death,1,GB,88,46,0,42,0.37,0.39,0.5,1,0.56,1,4,United Kingdom
IEM_Health-CovidProject,inc death,1,GB,123,104,4,15,0.52,0.34,1,1,-0.05,1,4,United Kingdom
ILM-EKF,inc death,1,GB,99,54,0,45,0.42,0.45,0.5,1,0.6,1,4,United Kingdom
LANL-GrowthRate,inc death,1,GB,36,8,0,28,0.15,0.16,0,0.75,0.87,1,4,United Kingdom
RobertWalraven-ESG,inc death,1,GB,99,63,33,3,0.42,0.41,0.75,1,-0.22,1,4,United Kingdom
USC-SIkJalpha,inc death,1,GB,226,51,0,175,0.95,0.88,0,0.5,0.82,1,4,United Kingdom
epiforecasts-EpiExpert,inc death,1,GB,113,17,0,96,0.47,0.4,0.25,0.5,0.78,1,4,United Kingdom
epiforecasts-EpiNow2,inc death,1,GB,238,24,0,214,1,0.86,0,0,1,1,4,United Kingdom
EuroCOVIDhub-baseline,inc case,1,GR,1220,110,1110,0,1,1,0,0.75,-0.82,1,4,Greece
EuroCOVIDhub-ensemble,inc case,1,GR,1338,966,183,188,1.1,1.13,1,1,0.05,1,4,Greece
IEM_Health-CovidProject,inc case,1,GR,1410,1029,166,215,1.16,1.17,1,1,0.05,1,4,Greece
ILM-EKF,inc case,1,GR,1258,720,129,409,1.03,1.22,0.75,1,0.22,1,4,Greece
LANL-GrowthRate,inc case,1,GR,1381,862,432,87,1.13,1.16,0.75,1,0.03,1,4,Greece
USC-SIkJalpha,inc case,1,GR,2710,1897,740,73,2.22,2,0.75,1,-0.15,1,4,Greece
epiforecasts-EpiNow2,inc case,1,GR,1636,737,388,510,1.34,1.67,0.25,1,0.22,1,4,Greece
EuroCOVIDhub-baseline,inc death,1,GR,42,4,39,0,1,1,0,1,-0.89,1,4,Greece
EuroCOVIDhub-ensemble,inc death,1,GR,21,15,5,1,0.51,0.48,0.75,1,-0.18,1,4,Greece
IEM_Health-CovidProject,inc death,1,GR,22,14,4,4,0.52,0.53,0.5,1,0.08,1,4,Greece
ILM-EKF,inc death,1,GR,41,36,3,1,0.96,0.53,1,1,-0.05,1,4,Greece
LANL-GrowthRate,inc death,1,GR,20,5,13,2,0.47,0.56,0,0.75,-0.47,1,4,Greece
RobertWalraven-ESG,inc death,1,GR,25,4,19,1,0.58,0.59,0,0.75,-0.55,1,4,Greece
USC-SIkJalpha,inc death,1,GR,38,29,7,2,0.9,0.84,1,1,-0.17,1,4,Greece
epiforecasts-EpiNow2,inc death,1,GR,13,8,5,0,0.3,0.33,0.75,1,-0.4,1,4,Greece
EuroCOVIDhub-baseline,inc case,1,HR,1661,118,1543,0,1,1,0,1,-0.9,1,4,Croatia
EuroCOVIDhub-ensemble,inc case,1,HR,619,429,191,0,0.37,0.37,0.75,1,-0.42,1,4,Croatia
IEM_Health-CovidProject,inc case,1,HR,850,475,375,0,0.51,0.54,0.5,1,-0.5,1,4,Croatia
ILM-EKF,inc case,1,HR,854,324,530,0,0.51,0.65,0.25,1,-0.68,1,4,Croatia
LANL-GrowthRate,inc case,1,HR,827,493,335,0,0.5,0.61,0.75,1,-0.48,1,4,Croatia
USC-SIkJalpha,inc case,1,HR,1386,586,801,0,0.83,0.76,0.25,0.75,-0.65,1,4,Croatia
epiforecasts-EpiNow2,inc case,1,HR,382,342,12,28,0.23,0.14,1,1,0.05,1,4,Croatia
EuroCOVIDhub-baseline,inc death,1,HR,14,3,11,0,1,1,0.25,1,-0.52,1,4,Croatia
EuroCOVIDhub-ensemble,inc death,1,HR,8,7,2,0,0.58,0.4,1,1,-0.23,1,4,Croatia
IEM_Health-CovidProject,inc death,1,HR,17,7,10,0,1.18,1.47,0.25,1,-0.65,1,4,Croatia
ILM-EKF,inc death,1,HR,16,15,1,0,1.15,0.52,1,1,-0.05,1,4,Croatia
LANL-GrowthRate,inc death,1,HR,12,4,7,1,0.81,0.87,0.5,1,-0.41,1,4,Croatia
RobertWalraven-ESG,inc death,1,HR,18,2,15,0,1.24,1.14,0.25,0.25,-0.77,1,4,Croatia
USC-SIkJalpha,inc death,1,HR,9,7,2,0,0.65,0.46,0.75,1,-0.23,1,4,Croatia
epiforecasts-EpiNow2,inc death,1,HR,12,6,0,5,0.83,0.94,0.25,1,0.58,1,4,Croatia
EuroCOVIDhub-baseline,inc case,1,HU,7018,277,5155,1587,1,1,0,0.5,-0.48,1,4,Hungary
EuroCOVIDhub-ensemble,inc case,1,HU,4665,2932,114,1619,0.66,0.78,0.75,1,0.28,1,4,Hungary
