model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
LANL-GrowthRate,inc death,2,IS,0,0,0,0,0.72,0,0.67,0.88,0.96,-0.09,1,25,Iceland
RobertWalraven-ESG,inc death,2,IS,0,0,0,0,1.07,0,0.98,0.88,0.96,0.03,1,26,Iceland
USC-SIkJalpha,inc death,2,IS,0,0,0,0,0.75,0,0.83,0.88,0.88,-0.12,1,26,Iceland
EuroCOVIDhub-baseline,inc death,3,IS,0,0,0,0,1,0,1,0.92,1,-0.08,1,25,Iceland
EuroCOVIDhub-ensemble,inc death,3,IS,0,0,0,0,1.22,0,1.15,0.92,0.96,-0.07,1,25,Iceland
ILM-EKF,inc death,3,IS,1,1,0,0,4.72,0,2.4,0.96,1,0.07,1,25,Iceland
LANL-GrowthRate,inc death,3,IS,0,0,0,0,0.87,0,1,0.88,0.96,-0.09,1,24,Iceland
RobertWalraven-ESG,inc death,3,IS,0,0,0,0,1.35,0,1.25,0.92,0.92,-0.02,1,25,Iceland
USC-SIkJalpha,inc death,3,IS,0,0,0,0,1,0,1,0.88,0.88,-0.12,1,25,Iceland
EuroCOVIDhub-baseline,inc death,4,IS,0,0,0,0,1,0,1,0.96,1,-0.07,1,24,Iceland
EuroCOVIDhub-ensemble,inc death,4,IS,0,0,0,0,1.47,0,1.29,0.88,1,-0.04,1,24,Iceland
ILM-EKF,inc death,4,IS,1,1,0,0,5.87,1,3.75,0.92,1,0.07,1,24,Iceland
LANL-GrowthRate,inc death,4,IS,0,0,0,0,0.79,0,1,0.87,1,-0.09,1,23,Iceland
RobertWalraven-ESG,inc death,4,IS,0,0,0,0,1.55,0,1.78,0.92,0.96,-0.04,1,24,Iceland
UMass-MechBayes,inc death,1,IS,0,0,0,0,1.26,0,1.19,0.88,1,0.01,1,24,Iceland
USC-SIkJalpha,inc death,4,IS,0,0,0,0,0.95,0,1,0.88,0.88,-0.12,1,24,Iceland
LANL-GrowthRate,inc death,5,IS,0,0,0,0,NA,0,NA,0.86,0.95,-0.1,1,22,Iceland
UMass-MechBayes,inc death,2,IS,0,0,0,0,2.95,0,1.91,0.83,1,0.09,1,23,Iceland
USC-SIkJalpha,inc death,5,IS,0,0,0,0,NA,0,NA,0.87,0.87,-0.13,1,23,Iceland
LANL-GrowthRate,inc death,6,IS,0,0,0,0,NA,0,NA,0.86,0.95,-0.1,1,21,Iceland
UMass-MechBayes,inc death,3,IS,1,0,0,0,5.41,1,7.29,0.73,1,0.14,1,22,Iceland
UMass-MechBayes,inc death,4,IS,2,1,0,1,12.27,3,20.04,0.76,0.9,0.15,1,21,Iceland
MUNI-ARIMA,inc death,1,IS,0,0,0,0,0.93,0,0.89,0.84,0.89,-0.14,1,19,Iceland
MUNI-ARIMA,inc death,2,IS,0,0,0,0,0.74,0,0.75,0.83,0.89,-0.16,1,18,Iceland
MUNI-ARIMA,inc death,3,IS,0,0,0,0,1.07,0,1.12,0.81,0.81,-0.18,1,16,Iceland
MUNI-ARIMA,inc death,4,IS,0,0,0,0,0.85,0,1.03,0.87,0.93,-0.13,1,15,Iceland
EuroCOVIDhub-baseline,inc case,1,IT,5639,1551,967,3121,1,8183,1,0.41,1,0.21,1,27,Italy
EuroCOVIDhub-ensemble,inc case,1,IT,3675,2097,222,1356,0.61,5371,0.64,0.52,0.96,0.23,1,27,Italy
IEM_Health-CovidProject,inc case,1,IT,5286,2070,486,2731,0.9,7970,0.93,0.3,0.78,0.36,1,27,Italy
ILM-EKF,inc case,1,IT,4852,2849,660,1343,0.84,7122,0.85,0.7,0.93,0.11,1,27,Italy
LANL-GrowthRate,inc case,1,IT,3520,2158,1186,176,0.58,5507,0.63,0.58,0.96,-0.38,1,26,Italy
UNIPV-BayesINGARCHX,inc case,1,IT,9744,1129,332,8283,1.56,10844,1.3,0.23,0.42,0.45,1,26,Italy
USC-SIkJalpha,inc case,1,IT,6121,2692,510,2920,1.02,6503,0.8,0.37,0.48,0.37,1,27,Italy
epiforecasts-EpiNow2,inc case,1,IT,3494,1736,683,1074,0.57,5536,0.62,0.52,0.93,0.13,1,27,Italy
EuroCOVIDhub-baseline,inc case,2,IT,10023,3152,1300,5571,1,15673,1,0.38,1,0.22,1,26,Italy
EuroCOVIDhub-ensemble,inc case,2,IT,7242,3562,639,3042,0.73,11450,0.74,0.58,0.85,0.26,1,26,Italy
IEM_Health-CovidProject,inc case,2,IT,11118,3049,1349,6720,1.11,16593,1.05,0.27,0.58,0.4,1,26,Italy
ILM-EKF,inc case,2,IT,11117,6043,1386,3688,1.19,16087,1.08,0.62,0.85,0.14,1,26,Italy
LANL-GrowthRate,inc case,2,IT,5681,3083,1646,952,0.58,8020,0.51,0.68,0.88,-0.2,1,25,Italy
UNIPV-BayesINGARCHX,inc case,2,IT,16154,1881,1202,13072,1.58,18001,1.2,0.2,0.48,0.32,1,25,Italy
USC-SIkJalpha,inc case,2,IT,9956,2976,1495,5485,1.05,11770,0.78,0.31,0.42,0.39,1,26,Italy
epiforecasts-EpiNow2,inc case,2,IT,7944,4082,950,2912,0.85,12429,0.83,0.58,0.88,0.1,1,26,Italy
EuroCOVIDhub-baseline,inc case,3,IT,14451,4461,1741,8248,1,23658,1,0.32,1,0.27,1,25,Italy
EuroCOVIDhub-ensemble,inc case,3,IT,11897,5188,1337,5373,0.85,19180,0.83,0.44,0.84,0.32,1,25,Italy
IEM_Health-CovidProject,inc case,3,IT,18505,4343,2524,11639,1.28,26990,1.13,0.28,0.56,0.41,1,25,Italy
ILM-EKF,inc case,3,IT,20706,10581,2663,7461,1.67,30258,1.42,0.52,0.84,0.16,1,25,Italy
LANL-GrowthRate,inc case,3,IT,8614,4116,2640,1858,0.63,12520,0.53,0.71,0.88,-0.02,1,24,Italy
UNIPV-BayesINGARCHX,inc case,3,IT,23485,2444,2623,18419,1.59,26412,1.16,0.21,0.46,0.28,1,24,Italy
USC-SIkJalpha,inc case,3,IT,15458,3287,3132,9039,1.24,19212,0.89,0.24,0.4,0.34,1,25,Italy
UpgUmibUsi-MultiBayes,inc case,1,IT,4934,2209,1574,1151,0.9,7224,0.88,0.46,0.92,0.04,1,24,Italy
epiforecasts-EpiNow2,inc case,3,IT,16411,7528,1815,7067,1.37,24526,1.17,0.52,0.88,0.12,1,25,Italy
EuroCOVIDhub-baseline,inc case,4,IT,18649,5520,1959,11171,1,30665,1,0.33,1,0.3,1,24,Italy
EuroCOVIDhub-ensemble,inc case,4,IT,17420,7204,2172,8043,0.99,26925,0.92,0.29,0.79,0.36,1,24,Italy
IEM_Health-CovidProject,inc case,4,IT,26817,6086,3886,16844,1.42,37528,1.21,0.33,0.42,0.37,1,24,Italy
ILM-EKF,inc case,4,IT,35958,18084,3882,13992,2.43,50469,1.95,0.5,0.83,0.14,1,24,Italy
LANL-GrowthRate,inc case,4,IT,12610,4860,3996,3754,0.71,18408,0.59,0.39,0.78,0.13,1,23,Italy
UNIPV-BayesINGARCHX,inc case,4,IT,31186,2698,4099,24388,1.66,34698,1.17,0.13,0.35,0.37,1,23,Italy
USC-SIkJalpha,inc case,4,IT,22576,3801,4796,13978,1.51,28416,1.05,0.17,0.38,0.3,1,24,Italy
epiforecasts-EpiNow2,inc case,4,IT,31049,12815,2804,15430,2.18,46801,1.82,0.33,0.88,0.05,1,24,Italy
LANL-GrowthRate,inc case,5,IT,17821,5382,5537,6902,NA,26446,NA,0.27,0.73,0.19,1,22,Italy
USC-SIkJalpha,inc case,5,IT,25768,4296,6757,14715,NA,32829,NA,0.22,0.35,0.22,1,23,Italy
LANL-GrowthRate,inc case,6,IT,22636,6076,6790,9770,NA,33011,NA,0.19,0.57,0.18,1,21,Italy
MUNI-ARIMA,inc case,1,IT,1405,1020,117,268,0.37,1725,0.3,0.79,1,0.02,1,19,Italy
epiMOX-SUIHTER,inc case,1,IT,1767,995,416,356,0.47,2360,0.42,0.63,0.95,-0.14,1,19,Italy
MUNI-ARIMA,inc case,2,IT,3816,2506,631,679,0.52,5365,0.46,0.78,1,0.01,1,18,Italy
RobertWalraven-ESG,inc case,1,IT,5375,932,1686,2756,1.56,9259,1.13,0.26,0.63,0.15,1,27,Italy
MUNI-ARIMA,inc case,3,IT,6600,3794,1630,1177,0.67,10466,0.63,0.62,1,-0.07,1,16,Italy
RobertWalraven-ESG,inc case,2,IT,8522,1127,4299,3096,1.26,13928,0.91,0.31,0.62,-0.06,1,26,Italy
MUNI-ARIMA,inc case,4,IT,9651,5159,2806,1686,0.75,15982,0.75,0.67,1,-0.14,1,15,Italy
RobertWalraven-ESG,inc case,3,IT,10691,1347,7645,1700,1.06,17353,0.77,0.2,0.56,-0.13,1,25,Italy
RobertWalraven-ESG,inc case,4,IT,14172,1547,11168,1456,1.06,20492,0.72,0.25,0.5,-0.15,1,24,Italy
Karlen-pypm,inc case,1,IT,5976,2250,1,3725,1.37,7906,1.2,0.44,0.78,0.52,1,9,Italy
Karlen-pypm,inc case,2,IT,18452,3831,0,14621,2.01,23514,1.63,0.38,0.62,0.67,1,8,Italy
Karlen-pypm,inc case,3,IT,47460,6822,0,40638,3.52,59581,2.71,0.29,0.57,0.79,1,7,Italy
Karlen-pypm,inc case,4,IT,108966,12691,0,96274,6.09,135283,4.56,0,0.33,0.93,1,6,Italy
EuroCOVIDhub-baseline,inc death,1,IT,121,55,20,46,1,174,1,0.52,1,0.08,1,27,Italy
EuroCOVIDhub-ensemble,inc death,1,IT,52,38,7,7,0.41,74,0.41,0.78,1,0.06,1,27,Italy
IEM_Health-CovidProject,inc death,1,IT,89,49,21,19,0.63,144,0.74,0.48,1,0.03,1,27,Italy
ILM-EKF,inc death,1,IT,76,66,4,6,0.6,68,0.43,0.89,1,0.09,1,27,Italy
LANL-GrowthRate,inc death,1,IT,49,12,32,4,0.4,73,0.43,0.35,0.81,-0.24,1,26,Italy
RobertWalraven-ESG,inc death,1,IT,84,27,27,31,0.61,118,0.63,0.63,0.85,-0.1,1,27,Italy
USC-SIkJalpha,inc death,1,IT,111,39,11,61,0.87,120,0.72,0.22,0.37,0.36,1,27,Italy
epiforecasts-EpiNow2,inc death,1,IT,53,24,15,14,0.46,77,0.5,0.52,0.93,-0.02,1,27,Italy
EuroCOVIDhub-baseline,inc death,2,IT,211,102,29,81,1,334,1,0.65,1,0.14,1,26,Italy
EuroCOVIDhub-ensemble,inc death,2,IT,71,50,7,15,0.32,105,0.31,0.81,1,0.1,1,26,Italy
IEM_Health-CovidProject,inc death,2,IT,171,71,41,59,0.72,281,0.78,0.38,0.88,0.12,1,26,Italy
ILM-EKF,inc death,2,IT,91,77,2,12,0.43,93,0.32,0.88,1,0.13,1,26,Italy
LANL-GrowthRate,inc death,2,IT,75,21,49,5,0.33,116,0.32,0.36,0.8,-0.18,1,25,Italy
RobertWalraven-ESG,inc death,2,IT,155,33,64,58,0.63,210,0.59,0.54,0.77,-0.12,1,26,Italy
USC-SIkJalpha,inc death,2,IT,129,47,6,75,0.6,146,0.46,0.5,0.5,0.5,1,26,Italy
epiforecasts-EpiNow2,inc death,2,IT,89,32,16,41,0.44,136,0.46,0.31,0.88,0.06,1,26,Italy
EuroCOVIDhub-baseline,inc death,3,IT,293,137,32,123,1,480,1,0.56,1,0.2,1,25,Italy
EuroCOVIDhub-ensemble,inc death,3,IT,101,65,5,30,0.34,154,0.34,0.72,1,0.25,1,25,Italy
IEM_Health-CovidProject,inc death,3,IT,277,96,55,126,0.87,463,0.92,0.28,0.88,0.17,1,25,Italy
ILM-EKF,inc death,3,IT,136,101,2,33,0.47,175,0.4,0.8,1,0.18,1,25,Italy
LANL-GrowthRate,inc death,3,IT,104,30,66,8,0.34,165,0.32,0.42,0.71,-0.23,1,24,Italy
RobertWalraven-ESG,inc death,3,IT,218,39,93,86,0.66,287,0.57,0.52,0.72,-0.11,1,25,Italy
USC-SIkJalpha,inc death,3,IT,188,53,2,133,0.64,226,0.5,0.2,0.44,0.68,1,25,Italy
UpgUmibUsi-MultiBayes,inc death,1,IT,65,27,34,4,0.54,98,0.62,0.42,0.92,-0.29,1,24,Italy
epiforecasts-EpiNow2,inc death,3,IT,136,52,10,74,0.49,204,0.47,0.44,0.8,0.12,1,25,Italy
EuroCOVIDhub-baseline,inc death,4,IT,368,166,31,171,1,607,1,0.5,1,0.25,1,24,Italy
EuroCOVIDhub-ensemble,inc death,4,IT,149,88,3,58,0.41,233,0.4,0.54,1,0.3,1,24,Italy
IEM_Health-CovidProject,inc death,4,IT,408,126,71,211,1.02,678,1.03,0.25,0.83,0.17,1,24,Italy
ILM-EKF,inc death,4,IT,217,149,3,65,0.62,309,0.54,0.62,1,0.18,1,24,Italy
LANL-GrowthRate,inc death,4,IT,139,40,74,25,0.37,215,0.34,0.22,0.74,-0.19,1,23,Italy
RobertWalraven-ESG,inc death,4,IT,280,46,126,108,0.68,362,0.56,0.38,0.75,-0.13,1,24,Italy
UMass-MechBayes,inc death,1,IT,70,35,20,15,0.65,91,0.62,0.58,0.88,0.09,1,24,Italy
USC-SIkJalpha,inc death,4,IT,225,67,3,155,0.63,269,0.47,0.29,0.38,0.54,1,24,Italy
epiforecasts-EpiNow2,inc death,4,IT,219,92,12,115,0.67,324,0.6,0.38,0.88,0.13,1,24,Italy
LANL-GrowthRate,inc death,5,IT,170,54,67,49,NA,270,NA,0.36,0.82,-0.08,1,22,Italy
UMass-MechBayes,inc death,2,IT,81,43,14,24,0.48,107,0.44,0.43,0.87,0.18,1,23,Italy
USC-SIkJalpha,inc death,5,IT,288,84,10,194,NA,364,NA,0.26,0.35,0.43,1,23,Italy
LANL-GrowthRate,inc death,6,IT,215,69,52,93,NA,340,NA,0.24,0.71,0.05,1,21,Italy
UMass-MechBayes,inc death,3,IT,113,56,9,49,0.53,161,0.48,0.59,0.82,0.13,1,22,Italy
UMass-MechBayes,inc death,4,IT,182,73,9,99,0.7,276,0.64,0.48,0.81,0.06,1,21,Italy
MUNI-ARIMA,inc death,1,IT,40,24,7,9,0.54,58,0.55,0.68,1,-0.01,1,19,Italy
epiMOX-SUIHTER,inc death,1,IT,30,6,14,10,0.39,36,0.34,0.42,0.58,-0.32,1,19,Italy
MUNI-ARIMA,inc death,2,IT,61,43,7,11,0.51,78,0.42,0.78,1,-0.08,1,18,Italy
MUNI-ARIMA,inc death,3,IT,75,55,12,8,0.52,106,0.49,0.75,1,-0.14,1,16,Italy
MUNI-ARIMA,inc death,4,IT,102,65,23,13,0.54,146,0.5,0.6,1,-0.21,1,15,Italy
Karlen-pypm,inc death,1,IT,28,18,2,7,0.54,34,0.47,0.78,0.89,0.08,1,9,Italy
Karlen-pypm,inc death,2,IT,51,27,2,22,0.51,74,0.47,0.5,0.88,0.25,1,8,Italy
Karlen-pypm,inc death,3,IT,111,43,1,67,0.65,166,0.63,0.43,0.86,0.39,1,7,Italy
Karlen-pypm,inc death,4,IT,269,76,0,193,1.12,412,1.07,0.33,0.83,0.56,1,6,Italy
EuroCOVIDhub-baseline,inc case,1,LI,8,2,3,3,1,11,1,0.22,1,-0.07,1,27,Liechtenstein
EuroCOVIDhub-ensemble,inc case,1,LI,8,3,2,3,1.07,11,0.99,0.52,0.85,-0,1,27,Liechtenstein
IEM_Health-CovidProject,inc case,1,LI,9,3,2,4,1.15,12,1.07,0.37,0.78,0.01,1,27,Liechtenstein
ILM-EKF,inc case,1,LI,13,5,6,2,1.66,21,1.78,0.48,0.96,-0.12,1,27,Liechtenstein
LANL-GrowthRate,inc case,1,LI,10,2,6,2,1.21,13,1.14,0.42,0.69,-0.21,1,26,Liechtenstein
USC-SIkJalpha,inc case,1,LI,10,2,4,4,1.23,11,1.01,0.33,0.44,-0.1,1,27,Liechtenstein
epiforecasts-EpiNow2,inc case,1,LI,13,5,2,6,1.71,20,1.76,0.41,0.78,0.02,1,27,Liechtenstein
EuroCOVIDhub-baseline,inc case,2,LI,10,4,4,2,1,15,1,0.65,1,-0.08,1,26,Liechtenstein
EuroCOVIDhub-ensemble,inc case,2,LI,14,4,5,5,1.4,20,1.33,0.38,0.77,0.02,1,26,Liechtenstein
IEM_Health-CovidProject,inc case,2,LI,19,4,5,11,1.94,27,1.79,0.35,0.69,0.05,1,26,Liechtenstein
ILM-EKF,inc case,2,LI,17,6,8,3,1.58,26,1.69,0.38,0.96,-0.12,1,26,Liechtenstein
LANL-GrowthRate,inc case,2,LI,16,2,10,3,1.44,22,1.37,0.16,0.64,-0.34,1,25,Liechtenstein
USC-SIkJalpha,inc case,2,LI,18,2,7,9,1.88,22,1.44,0.38,0.42,-0.09,1,26,Liechtenstein
epiforecasts-EpiNow2,inc case,2,LI,31,12,5,14,3.05,46,3.03,0.23,0.69,-0.01,1,26,Liechtenstein
EuroCOVIDhub-baseline,inc case,3,LI,13,6,4,3,1,20,1,0.64,1,-0.07,1,25,Liechtenstein
EuroCOVIDhub-ensemble,inc case,3,LI,18,6,6,7,1.45,26,1.32,0.32,0.72,0.07,1,25,Liechtenstein
IEM_Health-CovidProject,inc case,3,LI,31,6,6,19,2.71,45,2.33,0.2,0.64,0.03,1,25,Liechtenstein
ILM-EKF,inc case,3,LI,20,7,10,4,1.61,31,1.55,0.32,0.96,-0.13,1,25,Liechtenstein
LANL-GrowthRate,inc case,3,LI,19,3,13,4,1.48,25,1.23,0.21,0.5,-0.31,1,24,Liechtenstein
USC-SIkJalpha,inc case,3,LI,26,3,8,15,2.19,30,1.52,0.28,0.32,-0.11,1,25,Liechtenstein
epiforecasts-EpiNow2,inc case,3,LI,49,20,5,23,4.07,73,3.75,0.32,0.72,0.03,1,25,Liechtenstein
EuroCOVIDhub-baseline,inc case,4,LI,15,7,5,3,1,26,1,0.54,1,-0.1,1,24,Liechtenstein
EuroCOVIDhub-ensemble,inc case,4,LI,23,8,7,7,1.41,34,1.27,0.29,0.75,-0,1,24,Liechtenstein
IEM_Health-CovidProject,inc case,4,LI,40,10,8,22,2.87,59,2.4,0.17,0.71,-0.07,1,24,Liechtenstein
ILM-EKF,inc case,4,LI,24,8,11,5,1.59,36,1.42,0.29,0.92,-0.12,1,24,Liechtenstein
LANL-GrowthRate,inc case,4,LI,22,3,15,5,1.46,29,1.1,0.17,0.57,-0.26,1,23,Liechtenstein
USC-SIkJalpha,inc case,4,LI,37,4,11,23,2.6,41,1.66,0.25,0.33,-0.23,1,24,Liechtenstein
epiforecasts-EpiNow2,inc case,4,LI,51,22,6,23,3.24,74,2.86,0.33,0.71,-0.07,1,24,Liechtenstein
LANL-GrowthRate,inc case,5,LI,24,3,16,6,NA,31,NA,0.05,0.55,-0.2,1,22,Liechtenstein
USC-SIkJalpha,inc case,5,LI,28,5,12,11,NA,34,NA,0.17,0.35,-0.29,1,23,Liechtenstein
LANL-GrowthRate,inc case,6,LI,23,3,15,6,NA,31,NA,0.1,0.52,-0.09,1,21,Liechtenstein
MUNI-ARIMA,inc case,1,LI,6,2,2,2,0.84,11,0.92,0.26,0.95,0.01,1,19,Liechtenstein
MUNI-ARIMA,inc case,2,LI,10,4,4,2,1.04,16,1.16,0.5,0.94,-0.06,1,18,Liechtenstein
RobertWalraven-ESG,inc case,1,LI,8,1,4,3,1.13,12,1.03,0.37,0.74,-0.34,1,27,Liechtenstein
MUNI-ARIMA,inc case,3,LI,11,5,5,1,1.03,16,0.95,0.69,0.94,-0.08,1,16,Liechtenstein
RobertWalraven-ESG,inc case,2,LI,12,1,7,4,1.28,18,1.18,0.46,0.65,-0.33,1,26,Liechtenstein
MUNI-ARIMA,inc case,4,LI,13,6,6,1,1.05,18,0.94,0.73,1,-0.16,1,15,Liechtenstein
RobertWalraven-ESG,inc case,3,LI,13,1,9,3,1.21,23,1.13,0.32,0.52,-0.35,1,25,Liechtenstein
RobertWalraven-ESG,inc case,4,LI,14,1,12,0,1.09,26,1,0.29,0.62,-0.48,1,24,Liechtenstein
EuroCOVIDhub-baseline,inc death,1,LI,0,0,0,0,1,0,1,0.67,1,-0.03,1,27,Liechtenstein
EuroCOVIDhub-ensemble,inc death,1,LI,0,0,0,0,0.88,0,0.63,0.89,1,-0.09,1,27,Liechtenstein
IEM_Health-CovidProject,inc death,1,LI,0,0,0,0,1.87,1,2.08,0.85,0.96,0.13,1,26,Liechtenstein
ILM-EKF,inc death,1,LI,0,0,0,0,2.02,0,0.69,0.96,1,-0.05,1,27,Liechtenstein
LANL-GrowthRate,inc death,1,LI,0,0,0,0,0.73,0,0.64,0.88,1,-0.12,1,26,Liechtenstein
RobertWalraven-ESG,inc death,1,LI,0,0,0,0,0.86,0,0.94,0.85,1,-0.03,1,27,Liechtenstein
USC-SIkJalpha,inc death,1,LI,0,0,0,0,1.03,0,0.7,0.74,0.74,-0.19,1,27,Liechtenstein
epiforecasts-EpiNow2,inc death,1,LI,0,0,0,0,0.77,0,0.74,0.96,1,-0.05,1,27,Liechtenstein
EuroCOVIDhub-baseline,inc death,2,LI,0,0,0,0,1,0,1,1,1,0,1,26,Liechtenstein
EuroCOVIDhub-ensemble,inc death,2,LI,0,0,0,0,0.89,0,0.6,0.96,1,-0.05,1,26,Liechtenstein
ILM-EKF,inc death,2,LI,0,0,0,0,2.1,0,1.35,0.96,1,-0.04,1,26,Liechtenstein
LANL-GrowthRate,inc death,2,LI,0,0,0,0,0.76,0,0.73,0.96,1,-0.06,1,25,Liechtenstein
RobertWalraven-ESG,inc death,2,LI,0,0,0,0,0.77,0,0.91,0.96,1,-0.03,1,26,Liechtenstein
USC-SIkJalpha,inc death,2,LI,0,0,0,0,0.95,0,0.8,0.77,0.77,-0.15,1,26,Liechtenstein
epiforecasts-EpiNow2,inc death,2,LI,0,0,0,0,0.96,0,1.1,0.96,1,-0.02,1,26,Liechtenstein
EuroCOVIDhub-baseline,inc death,3,LI,0,0,0,0,1,0,1,1,1,0.02,1,25,Liechtenstein
EuroCOVIDhub-ensemble,inc death,3,LI,0,0,0,0,0.85,0,0.73,1,1,-0.04,1,25,Liechtenstein
ILM-EKF,inc death,3,LI,0,0,0,0,1.63,0,0.9,1,1,0.01,1,25,Liechtenstein
LANL-GrowthRate,inc death,3,LI,0,0,0,0,0.56,0,0.55,0.92,1,-0.07,1,24,Liechtenstein
RobertWalraven-ESG,inc death,3,LI,0,0,0,0,0.75,0,0.95,1,1,-0.05,1,25,Liechtenstein
USC-SIkJalpha,inc death,3,LI,0,0,0,0,0.65,0,0.55,0.8,0.8,-0.12,1,25,Liechtenstein
epiforecasts-EpiNow2,inc death,3,LI,0,0,0,0,1.28,1,1.52,0.92,1,0.06,1,25,Liechtenstein
EuroCOVIDhub-baseline,inc death,4,LI,0,0,0,0,1,0,1,1,1,0.01,1,24,Liechtenstein
EuroCOVIDhub-ensemble,inc death,4,LI,0,0,0,0,0.87,0,0.73,1,1,-0,1,24,Liechtenstein
ILM-EKF,inc death,4,LI,0,0,0,0,1.49,0,0.9,1,1,0,1,24,Liechtenstein
LANL-GrowthRate,inc death,4,LI,0,0,0,0,0.48,0,0.55,0.96,1,-0.06,1,23,Liechtenstein
RobertWalraven-ESG,inc death,4,LI,0,0,0,0,0.56,0,0.24,1,1,-0.03,1,24,Liechtenstein
UMass-MechBayes,inc death,1,LI,0,0,0,0,0.66,0,0.62,0.92,1,-0.09,1,24,Liechtenstein
USC-SIkJalpha,inc death,4,LI,0,0,0,0,0.59,0,0.55,0.79,0.79,-0.12,1,24,Liechtenstein
epiforecasts-EpiNow2,inc death,4,LI,1,0,0,0,1.52,1,1.52,0.92,1,0.08,1,24,Liechtenstein
LANL-GrowthRate,inc death,5,LI,0,0,0,0,NA,0,NA,0.95,1,-0.05,1,22,Liechtenstein
UMass-MechBayes,inc death,2,LI,0,0,0,0,0.54,0,0.35,0.96,1,-0.05,1,23,Liechtenstein
USC-SIkJalpha,inc death,5,LI,0,0,0,0,NA,0,NA,0.87,0.87,-0.13,1,23,Liechtenstein
LANL-GrowthRate,inc death,6,LI,0,0,0,0,NA,0,NA,0.95,1,-0.05,1,21,Liechtenstein
UMass-MechBayes,inc death,3,LI,0,0,0,0,0.55,0,0.66,0.95,1,-0.04,1,22,Liechtenstein
UMass-MechBayes,inc death,4,LI,0,0,0,0,0.52,0,0.66,0.95,1,-0.03,1,21,Liechtenstein
MUNI-ARIMA,inc death,1,LI,0,0,0,0,0.71,0,0.69,0.84,1,-0.11,1,19,Liechtenstein
MUNI-ARIMA,inc death,2,LI,0,0,0,0,0.49,0,0.54,0.89,1,-0.08,1,18,Liechtenstein
MUNI-ARIMA,inc death,3,LI,0,0,0,0,0.55,0,0.67,0.88,1,-0.1,1,16,Liechtenstein
MUNI-ARIMA,inc death,4,LI,0,0,0,0,0.39,0,0.68,0.93,1,-0.07,1,15,Liechtenstein
EuroCOVIDhub-baseline,inc case,1,LT,492,99,193,200,1,735,1,0.11,1,-0.2,1,27,Lithuania
EuroCOVIDhub-ensemble,inc case,1,LT,315,170,59,86,0.61,437,0.58,0.56,0.93,-0.01,1,27,Lithuania
IEM_Health-CovidProject,inc case,1,LT,422,177,99,147,0.85,624,0.86,0.48,0.81,0,1,27,Lithuania
ILM-EKF,inc case,1,LT,732,226,172,333,1.66,1112,1.63,0.3,0.78,0.14,1,27,Lithuania
LANL-GrowthRate,inc case,1,LT,366,193,163,10,0.69,595,0.78,0.58,1,-0.43,1,26,Lithuania
USC-SIkJalpha,inc case,1,LT,517,136,116,264,1.01,558,0.75,0.22,0.48,-0.01,1,27,Lithuania
epiforecasts-EpiNow2,inc case,1,LT,372,197,72,103,0.72,577,0.77,0.37,0.85,0.1,1,27,Lithuania
EuroCOVIDhub-baseline,inc case,2,LT,868,216,312,339,1,1382,1,0.31,0.96,-0.16,1,26,Lithuania
EuroCOVIDhub-ensemble,inc case,2,LT,633,275,139,219,0.7,898,0.64,0.46,0.85,0.05,1,26,Lithuania
IEM_Health-CovidProject,inc case,2,LT,856,252,237,367,0.98,1312,0.94,0.27,0.69,0.02,1,26,Lithuania
ILM-EKF,inc case,2,LT,1502,395,312,794,1.97,2263,1.79,0.12,0.69,0.15,1,26,Lithuania
LANL-GrowthRate,inc case,2,LT,649,264,297,88,0.71,1009,0.71,0.44,0.88,-0.29,1,25,Lithuania
USC-SIkJalpha,inc case,2,LT,909,159,264,486,1,977,0.68,0.19,0.42,-0.07,1,26,Lithuania
epiforecasts-EpiNow2,inc case,2,LT,859,397,178,284,0.98,1343,1,0.38,0.85,0.08,1,26,Lithuania
EuroCOVIDhub-baseline,inc case,3,LT,1223,317,406,500,1,1988,1,0.32,0.88,-0.17,1,25,Lithuania
EuroCOVIDhub-ensemble,inc case,3,LT,1031,416,225,390,0.79,1411,0.66,0.48,0.76,0.1,1,25,Lithuania
IEM_Health-CovidProject,inc case,3,LT,1381,356,414,611,1.11,2027,0.99,0.24,0.68,0.07,1,25,Lithuania
ILM-EKF,inc case,3,LT,2606,661,484,1460,2.49,3774,2.11,0.2,0.56,0.11,1,25,Lithuania
LANL-GrowthRate,inc case,3,LT,1010,330,461,219,0.78,1518,0.74,0.33,0.75,-0.23,1,24,Lithuania
USC-SIkJalpha,inc case,3,LT,1388,184,450,754,1.02,1556,0.72,0.16,0.32,-0.04,1,25,Lithuania
epiforecasts-EpiNow2,inc case,3,LT,1727,769,285,673,1.46,2646,1.37,0.36,0.72,0.13,1,25,Lithuania
EuroCOVIDhub-baseline,inc case,4,LT,1598,396,522,680,1,2637,1,0.21,0.88,-0.14,1,24,Lithuania
EuroCOVIDhub-ensemble,inc case,4,LT,1559,584,375,601,0.91,2130,0.74,0.42,0.67,0.11,1,24,Lithuania
IEM_Health-CovidProject,inc case,4,LT,1963,501,627,834,1.2,2809,1.03,0.17,0.67,0.03,1,24,Lithuania
ILM-EKF,inc case,4,LT,3786,1030,694,2062,2.82,5449,2.33,0.25,0.54,0.07,1,24,Lithuania
