model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
RobertWalraven-ESG,inc death,1,LV,7,2,5,0,1.39,1.35,0.4,0.8,-0.54,1,5,Latvia
USC-SIkJalpha,inc death,1,LV,4,2,1,1,0.82,0.85,0.6,1,0.04,1,5,Latvia
epiforecasts-EpiNow2,inc death,1,LV,4,3,0,1,0.85,0.85,1,1,0.18,1,5,Latvia
EuroCOVIDhub-baseline,inc death,2,LV,9,2,1,5,1,1,0,1,0.38,1,4,Latvia
EuroCOVIDhub-ensemble,inc death,2,LV,6,4,1,0,0.67,0.55,0.75,1,-0.1,1,4,Latvia
IEM_Health-CovidProject,inc death,2,LV,10,7,3,0,1.16,0.85,0.75,1,-0.25,1,4,Latvia
ILM-EKF,inc death,2,LV,10,9,1,0,1.2,0.6,1,1,-0.05,1,4,Latvia
LANL-GrowthRate,inc death,2,LV,7,2,4,0,0.78,0.77,0.5,1,-0.31,1,4,Latvia
RobertWalraven-ESG,inc death,2,LV,9,2,7,0,1.06,0.92,0.5,0.75,-0.5,1,4,Latvia
USC-SIkJalpha,inc death,2,LV,4,3,1,1,0.51,0.43,0.75,1,0.03,1,4,Latvia
epiforecasts-EpiNow2,inc death,2,LV,5,3,1,1,0.57,0.6,0.75,1,0.15,1,4,Latvia
EuroCOVIDhub-baseline,inc case,1,MT,277,18,4,255,1,1,0.2,0.4,0.55,1,5,Malta
EuroCOVIDhub-ensemble,inc case,1,MT,271,93,1,177,0.98,1.16,0.4,0.8,0.56,1,5,Malta
IEM_Health-CovidProject,inc case,1,MT,400,74,1,325,1.44,1.61,0.2,0.6,0.71,1,5,Malta
ILM-EKF,inc case,1,MT,529,108,12,409,1.91,2.15,0.2,0.6,0.64,1,5,Malta
LANL-GrowthRate,inc case,1,MT,202,54,25,123,0.73,0.85,0.4,0.8,0.14,1,5,Malta
USC-SIkJalpha,inc case,1,MT,304,228,8,68,1.1,1.05,0.8,1,0.14,1,5,Malta
epiforecasts-EpiNow2,inc case,1,MT,282,63,31,189,1.02,1.22,0.2,0.4,0.4,1,5,Malta
EuroCOVIDhub-baseline,inc case,2,MT,676,35,0,641,1,1,0,0.25,0.98,1,4,Malta
EuroCOVIDhub-ensemble,inc case,2,MT,697,148,0,550,1.03,1.22,0.25,0.5,0.85,1,4,Malta
IEM_Health-CovidProject,inc case,2,MT,878,119,0,759,1.3,1.46,0,0.25,0.95,1,4,Malta
ILM-EKF,inc case,2,MT,1001,186,0,816,1.48,1.63,0.25,0.25,0.82,1,4,Malta
LANL-GrowthRate,inc case,2,MT,614,85,5,525,0.91,1.01,0.25,0.5,0.65,1,4,Malta
USC-SIkJalpha,inc case,2,MT,542,251,0,291,0.8,0.9,0.75,0.75,0.45,1,4,Malta
epiforecasts-EpiNow2,inc case,2,MT,792,152,36,604,1.17,1.39,0,0,0.5,1,4,Malta
EuroCOVIDhub-baseline,inc death,1,MT,3,0,1,2,1,1,0,0.8,0.42,1,5,Malta
EuroCOVIDhub-ensemble,inc death,1,MT,3,2,0,1,1.14,1.05,0.8,1,0.32,1,5,Malta
IEM_Health-CovidProject,inc death,1,MT,4,3,1,0,1.48,1.24,0.8,1,-0.04,1,5,Malta
ILM-EKF,inc death,1,MT,6,4,1,1,2.14,1.67,0.8,1,0.2,1,5,Malta
LANL-GrowthRate,inc death,1,MT,3,1,0,2,1.01,0.95,0.6,0.8,0.32,1,5,Malta
RobertWalraven-ESG,inc death,1,MT,3,0,0,3,1.28,1.1,0.2,0.6,0.4,1,5,Malta
USC-SIkJalpha,inc death,1,MT,4,2,0,2,1.53,1.43,0.4,0.6,0.4,1,5,Malta
epiforecasts-EpiNow2,inc death,1,MT,2,2,0,1,0.85,0.71,0.8,1,0.3,1,5,Malta
EuroCOVIDhub-baseline,inc death,2,MT,4,1,0,3,1,1,0.25,0.75,0.52,1,4,Malta
EuroCOVIDhub-ensemble,inc death,2,MT,5,2,0,2,1.15,1.08,0.5,1,0.54,1,4,Malta
IEM_Health-CovidProject,inc death,2,MT,6,4,1,1,1.44,1.15,1,1,0.1,1,4,Malta
ILM-EKF,inc death,2,MT,8,5,1,2,1.95,1.81,0.5,1,0.35,1,4,Malta
LANL-GrowthRate,inc death,2,MT,4,1,0,3,0.91,0.85,0.25,0.75,0.58,1,4,Malta
RobertWalraven-ESG,inc death,2,MT,5,1,0,4,1.1,0.92,0.25,0.5,0.37,1,4,Malta
USC-SIkJalpha,inc death,2,MT,7,2,0,5,1.64,1.35,0.25,0.5,0.7,1,4,Malta
epiforecasts-EpiNow2,inc death,2,MT,5,2,0,3,1.17,1.27,0.25,1,0.7,1,4,Malta
EuroCOVIDhub-baseline,inc case,1,NL,3001,680,2051,270,1,1,0.2,1,-0.34,1,5,Netherlands
EuroCOVIDhub-ensemble,inc case,1,NL,2485,1384,166,936,0.83,0.93,0.6,1,0.16,1,5,Netherlands
IEM_Health-CovidProject,inc case,1,NL,3784,1255,56,2473,1.26,1.29,0.4,1,0.45,1,5,Netherlands
ILM-EKF,inc case,1,NL,2966,1748,282,935,0.99,0.98,0.6,1,0.14,1,5,Netherlands
LANL-GrowthRate,inc case,1,NL,2792,930,1427,435,0.93,1.02,0.2,1,-0.34,1,5,Netherlands
USC-SIkJalpha,inc case,1,NL,4326,2352,1445,530,1.44,1.17,0.6,0.8,-0.24,1,5,Netherlands
epiforecasts-EpiExpert,inc case,1,NL,1928,788,435,705,0.64,0.73,0.2,1,0.02,1,5,Netherlands
epiforecasts-EpiNow2,inc case,1,NL,2315,1105,524,686,0.77,0.82,0.6,1,-0.02,1,5,Netherlands
DSMPG-bayes,inc case,1,NL,8013,1359,0,6654,0.95,1.42,0,0.5,0.93,1,4,Netherlands
EuroCOVIDhub-baseline,inc case,2,NL,5762,1357,4193,212,1,1,0.25,1,-0.48,1,4,Netherlands
EuroCOVIDhub-ensemble,inc case,2,NL,6701,2447,1102,3152,1.16,1.24,0.25,1,0.12,1,4,Netherlands
IEM_Health-CovidProject,inc case,2,NL,8754,2061,722,5971,1.52,1.47,0.25,0.75,0.21,1,4,Netherlands
ILM-EKF,inc case,2,NL,7158,3605,879,2674,1.24,1.3,0.75,1,0.1,1,4,Netherlands
LANL-GrowthRate,inc case,2,NL,7254,1477,3205,2572,1.26,1.21,0.25,0.5,-0.12,1,4,Netherlands
USC-SIkJalpha,inc case,2,NL,6753,2410,3273,1070,1.17,1.09,0.75,0.75,-0.15,1,4,Netherlands
epiforecasts-EpiExpert,inc case,2,NL,5110,1262,1534,2314,0.89,0.86,0.25,0.75,0.04,1,4,Netherlands
epiforecasts-EpiNow2,inc case,2,NL,7950,2574,2238,3138,1.38,1.31,0.25,0.75,0.15,1,4,Netherlands
EuroCOVIDhub-baseline,inc death,1,NL,18,12,0,7,1,1,0.8,1,0.46,1,5,Netherlands
EuroCOVIDhub-ensemble,inc death,1,NL,27,14,0,13,1.46,1.94,0.6,1,0.56,1,5,Netherlands
IEM_Health-CovidProject,inc death,1,NL,23,19,3,0,1.24,0.91,1,1,-0.14,1,5,Netherlands
ILM-EKF,inc death,1,NL,37,28,0,10,2.01,2.15,0.8,1,0.38,1,5,Netherlands
LANL-GrowthRate,inc death,1,NL,9,7,0,2,0.5,0.55,1,1,0.18,1,5,Netherlands
RobertWalraven-ESG,inc death,1,NL,7,6,1,0,0.4,0.42,1,1,-0.18,1,5,Netherlands
USC-SIkJalpha,inc death,1,NL,43,22,0,21,2.33,2.99,0.6,0.8,0.52,1,5,Netherlands
epiforecasts-EpiExpert,inc death,1,NL,14,4,1,9,0.75,0.98,0.4,0.8,0.41,1,5,Netherlands
epiforecasts-EpiNow2,inc death,1,NL,73,13,0,60,3.94,4.83,0,0.4,0.96,1,5,Netherlands
EuroCOVIDhub-baseline,inc death,2,NL,34,22,0,12,1,1,1,1,0.43,1,4,Netherlands
EuroCOVIDhub-ensemble,inc death,2,NL,42,17,0,25,1.24,1.41,0.25,1,0.68,1,4,Netherlands
IEM_Health-CovidProject,inc death,2,NL,28,23,4,0,0.82,0.56,1,1,-0.22,1,4,Netherlands
ILM-EKF,inc death,2,NL,66,35,0,31,1.98,2.15,0.25,1,0.62,1,4,Netherlands
LANL-GrowthRate,inc death,2,NL,12,10,0,1,0.35,0.22,1,1,0.17,1,4,Netherlands
RobertWalraven-ESG,inc death,2,NL,9,7,2,0,0.27,0.22,1,1,-0.28,1,4,Netherlands
USC-SIkJalpha,inc death,2,NL,75,23,0,53,2.24,2.52,0,0.5,0.82,1,4,Netherlands
epiforecasts-EpiExpert,inc death,2,NL,29,6,1,22,0.86,0.88,0.25,0.75,0.61,1,4,Netherlands
epiforecasts-EpiNow2,inc death,2,NL,149,16,0,133,4.43,3.87,0,0,1,1,4,Netherlands
EuroCOVIDhub-baseline,inc case,1,NO,644,57,406,182,1,1,0,0.6,0.1,1,5,Norway
EuroCOVIDhub-ensemble,inc case,1,NO,672,389,67,216,1.04,1.09,0.4,1,0.22,1,5,Norway
IEM_Health-CovidProject,inc case,1,NO,920,289,242,388,1.43,1.6,0.2,0.8,0.26,1,5,Norway
ILM-EKF,inc case,1,NO,1355,311,254,790,2.1,2.35,0.2,0.8,0.3,1,5,Norway
LANL-GrowthRate,inc case,1,NO,648,275,16,357,1.01,1.13,0.6,1,0.37,1,5,Norway
USC-SIkJalpha,inc case,1,NO,1294,1101,109,84,2.01,1.19,0.8,1,-0.02,1,5,Norway
epiforecasts-EpiNow2,inc case,1,NO,643,264,71,309,1,1.14,0.4,1,0.18,1,5,Norway
DSMPG-bayes,inc case,1,NO,1131,365,0,766,1.36,1.52,0.25,1,0.71,1,4,Norway
EuroCOVIDhub-baseline,inc case,2,NO,1056,112,668,276,1,1,0,0.75,-0.02,1,4,Norway
EuroCOVIDhub-ensemble,inc case,2,NO,1526,623,66,838,1.44,1.79,0.25,1,0.45,1,4,Norway
IEM_Health-CovidProject,inc case,2,NO,2307,516,494,1297,2.18,2.49,0,0.75,0.39,1,4,Norway
ILM-EKF,inc case,2,NO,2766,591,364,1811,2.62,2.81,0.25,0.5,0.38,1,4,Norway
LANL-GrowthRate,inc case,2,NO,1697,471,47,1179,1.61,1.97,0.25,1,0.54,1,4,Norway
USC-SIkJalpha,inc case,2,NO,1287,967,84,235,1.22,1.15,0.75,1,0.1,1,4,Norway
epiforecasts-EpiNow2,inc case,2,NO,2173,688,137,1348,2.06,2.32,0.25,0.75,0.38,1,4,Norway
EuroCOVIDhub-baseline,inc death,1,NO,3,1,1,1,1,1,0.6,1,0.06,1,5,Norway
EuroCOVIDhub-ensemble,inc death,1,NO,3,2,0,0,0.94,0.71,1,1,0.16,1,5,Norway
IEM_Health-CovidProject,inc death,1,NO,3,2,1,0,1.14,1.24,0.8,1,-0.36,1,5,Norway
ILM-EKF,inc death,1,NO,5,4,0,1,1.89,1.1,0.8,1,0.22,1,5,Norway
LANL-GrowthRate,inc death,1,NO,3,2,1,0,0.95,0.71,0.8,1,-0.08,1,5,Norway
RobertWalraven-ESG,inc death,1,NO,3,1,2,0,1.19,0.86,0.8,0.8,-0.12,1,5,Norway
USC-SIkJalpha,inc death,1,NO,3,2,1,0,1.15,1.19,0.6,0.8,-0.18,1,5,Norway
epiforecasts-EpiNow2,inc death,1,NO,3,2,0,1,1.19,1.1,0.8,1,0.24,1,5,Norway
EuroCOVIDhub-baseline,inc death,2,NO,2,2,1,0,1,1,0.75,1,-0.25,1,4,Norway
EuroCOVIDhub-ensemble,inc death,2,NO,3,2,0,0,1.15,0.92,1,1,0.1,1,4,Norway
IEM_Health-CovidProject,inc death,2,NO,4,2,2,0,1.62,2.23,0.75,1,-0.48,1,4,Norway
ILM-EKF,inc death,2,NO,7,6,0,1,2.72,2.08,1,1,0.25,1,4,Norway
LANL-GrowthRate,inc death,2,NO,3,2,1,0,1.03,1.15,0.75,1,-0.17,1,4,Norway
RobertWalraven-ESG,inc death,2,NO,3,2,2,0,1.33,1.54,0.5,0.75,-0.3,1,4,Norway
USC-SIkJalpha,inc death,2,NO,2,2,1,0,0.97,1,0.75,1,-0.2,1,4,Norway
epiforecasts-EpiNow2,inc death,2,NO,5,3,0,2,2.09,2,0.5,1,0.4,1,4,Norway
EuroCOVIDhub-baseline,inc case,1,Overall,3972,502,1991,1479,1,1,0.15,0.87,-0.04,32,159,Overall
EuroCOVIDhub-ensemble,inc case,1,Overall,3506,1568,702,1237,0.89,0.98,0.63,0.96,0.05,32,159,Overall
IEM_Health-CovidProject,inc case,1,Overall,4946,2101,903,1943,1.24,1.41,0.47,0.92,0.05,32,159,Overall
ILM-EKF,inc case,1,Overall,4447,1311,1078,2058,1.11,1.21,0.48,0.9,0.1,32,159,Overall
LANL-GrowthRate,inc case,1,Overall,3668,1965,1182,521,0.93,1.07,0.58,0.93,-0.21,32,159,Overall
USC-SIkJalpha,inc case,1,Overall,4835,2348,1692,795,1.21,1.11,0.55,0.79,-0.1,32,159,Overall
epiforecasts-EpiExpert,inc case,1,Overall,4342,936,1203,2203,0.82,0.91,0.28,0.78,0.14,32,95,Overall
epiforecasts-EpiNow2,inc case,1,Overall,3524,1528,747,1249,0.88,1.05,0.47,0.89,0.18,32,158,Overall
DSMPG-bayes,inc case,1,Overall,5730,1506,512,3713,1.19,1.28,0.37,0.86,0.44,25,87,Overall
EuroCOVIDhub-baseline,inc case,2,Overall,6602,1033,3615,1953,1,1,0.27,0.8,-0.16,32,127,Overall
EuroCOVIDhub-ensemble,inc case,2,Overall,6315,2392,1260,2663,0.95,1.11,0.47,0.93,0.09,32,127,Overall
IEM_Health-CovidProject,inc case,2,Overall,8873,2879,1801,4193,1.32,1.48,0.31,0.81,0.04,32,127,Overall
ILM-EKF,inc case,2,Overall,8961,2893,1486,4582,1.35,1.49,0.39,0.87,0.1,32,127,Overall
LANL-GrowthRate,inc case,2,Overall,5944,2347,1863,1735,0.9,0.99,0.39,0.89,-0.12,32,127,Overall
USC-SIkJalpha,inc case,2,Overall,7150,2528,3209,1413,1.08,0.99,0.42,0.71,-0.13,32,127,Overall
epiforecasts-EpiExpert,inc case,2,Overall,8354,1484,2237,4633,1.05,1.06,0.29,0.69,0.09,32,87,Overall
epiforecasts-EpiNow2,inc case,2,Overall,7147,2743,1388,3016,1.07,1.17,0.44,0.85,0.17,32,127,Overall
DSMPG-bayes,inc case,2,Overall,10554,3846,889,5820,1.42,1.54,0.35,0.91,0.36,25,66,Overall
EuroCOVIDhub-baseline,inc death,1,Overall,71,14,32,25,1,1,0.32,0.94,-0.07,32,160,Overall
EuroCOVIDhub-ensemble,inc death,1,Overall,52,26,13,13,0.73,0.72,0.74,0.99,0.05,32,160,Overall
IEM_Health-CovidProject,inc death,1,Overall,71,39,24,8,1.02,1.02,0.68,0.99,-0.2,32,160,Overall
ILM-EKF,inc death,1,Overall,79,40,12,27,1.09,0.94,0.86,0.99,0.1,32,160,Overall
LANL-GrowthRate,inc death,1,Overall,53,11,30,11,0.74,0.73,0.39,0.87,-0.14,32,160,Overall
RobertWalraven-ESG,inc death,1,Overall,62,14,36,11,0.87,0.86,0.41,0.77,-0.27,32,160,Overall
USC-SIkJalpha,inc death,1,Overall,76,39,17,20,1.07,0.83,0.59,0.82,0.04,32,160,Overall
epiforecasts-EpiExpert,inc death,1,Overall,91,15,31,46,1.02,0.95,0.31,0.71,0.04,32,96,Overall
epiforecasts-EpiNow2,inc death,1,Overall,77,23,8,46,1.11,1.14,0.47,0.87,0.35,32,159,Overall
EuroCOVIDhub-baseline,inc death,2,Overall,108,29,49,31,1,1,0.46,0.89,-0.1,32,128,Overall
EuroCOVIDhub-ensemble,inc death,2,Overall,71,34,14,24,0.65,0.63,0.71,0.98,0.11,32,128,Overall
IEM_Health-CovidProject,inc death,2,Overall,103,48,39,17,0.96,0.98,0.61,0.97,-0.22,32,128,Overall
ILM-EKF,inc death,2,Overall,128,53,12,63,1.14,1.09,0.73,0.98,0.19,32,128,Overall
LANL-GrowthRate,inc death,2,Overall,75,16,43,15,0.69,0.7,0.41,0.88,-0.15,32,128,Overall
RobertWalraven-ESG,inc death,2,Overall,105,18,74,13,0.97,0.88,0.43,0.68,-0.36,32,128,Overall
USC-SIkJalpha,inc death,2,Overall,95,42,13,40,0.87,0.82,0.52,0.79,0.14,32,128,Overall
epiforecasts-EpiExpert,inc death,2,Overall,129,23,39,67,1.05,0.98,0.35,0.78,0.11,32,88,Overall
epiforecasts-EpiNow2,inc death,2,Overall,131,31,9,91,1.22,1.21,0.38,0.8,0.47,32,128,Overall
EuroCOVIDhub-baseline,inc case,1,PL,25879,910,15843,9125,1,1,0,0.6,-0.54,1,5,Poland
EuroCOVIDhub-ensemble,inc case,1,PL,17817,6681,1635,9501,0.69,0.76,0.6,0.8,0.1,1,5,Poland
ICM-agentModel,inc case,1,PL,26519,17857,6839,1823,1.02,1.11,0.6,1,-0.14,1,5,Poland
IEM_Health-CovidProject,inc case,1,PL,26166,7641,872,17653,1.01,1.16,0.4,0.8,0.3,1,5,Poland
ILM-EKF,inc case,1,PL,17859,5324,330,12204,0.69,0.8,0.6,0.8,0.44,1,5,Poland
ITWW-county_repro,inc case,1,PL,47707,1419,0,46288,1.84,1.58,0,0,1,1,5,Poland
LANL-GrowthRate,inc case,1,PL,12880,6771,2689,3421,0.5,0.67,0.4,1,-0.02,1,5,Poland
MIMUW-StochSEIR,inc case,1,PL,20726,1362,6388,12975,0.8,0.75,0.2,0.2,-0.29,1,5,Poland
MOCOS-agent1,inc case,1,PL,8511,6651,1394,466,0.33,0.26,1,1,-0.14,1,5,Poland
USC-SIkJalpha,inc case,1,PL,21915,10627,7373,3915,0.85,0.91,0.4,0.8,-0.22,1,5,Poland
epiforecasts-EpiExpert,inc case,1,PL,16142,3151,3230,9761,0.62,0.7,0.2,0.8,0.04,1,5,Poland
epiforecasts-EpiNow2,inc case,1,PL,11238,4248,0,6991,0.43,0.52,0.4,1,0.57,1,5,Poland
EuroCOVIDhub-baseline,inc case,2,PL,45462,2085,35493,7884,1,1,0,0,-0.5,1,4,Poland
EuroCOVIDhub-ensemble,inc case,2,PL,36084,10968,3941,21176,0.79,0.95,0.5,0.75,0.1,1,4,Poland
ICM-agentModel,inc case,2,PL,36744,27236,5556,3952,0.81,0.88,1,1,-0.13,1,4,Poland
IEM_Health-CovidProject,inc case,2,PL,53915,12366,4389,37160,1.19,1.31,0.25,0.75,0.22,1,4,Poland
ILM-EKF,inc case,2,PL,47883,13522,183,34177,1.05,1.09,0.5,0.75,0.4,1,4,Poland
ITWW-county_repro,inc case,2,PL,74650,3091,0,71559,1.64,1.43,0,0.5,0.92,1,4,Poland
LANL-GrowthRate,inc case,2,PL,34046,9224,6116,18706,0.75,0.87,0.5,0.75,-0.03,1,4,Poland
MIMUW-StochSEIR,inc case,2,PL,27168,1757,7811,17600,0.6,0.52,0.25,0.5,-0.21,1,4,Poland
MOCOS-agent1,inc case,2,PL,15911,8720,2797,4394,0.35,0.34,0.5,0.75,-0.1,1,4,Poland
USC-SIkJalpha,inc case,2,PL,35433,12646,14159,8628,0.78,0.89,0.5,0.75,-0.32,1,4,Poland
epiforecasts-EpiExpert,inc case,2,PL,35595,4764,8053,22777,0.78,0.84,0,0.75,0.01,1,4,Poland
epiforecasts-EpiNow2,inc case,2,PL,40315,10491,0,29824,0.89,0.9,0.5,0.75,0.58,1,4,Poland
EuroCOVIDhub-baseline,inc death,1,PL,271,21,250,0,1,1,0,0.8,-0.9,1,5,Poland
EuroCOVIDhub-ensemble,inc death,1,PL,146,120,22,3,0.54,0.37,0.8,1,-0.14,1,5,Poland
ICM-agentModel,inc death,1,PL,490,397,61,32,1.81,1.86,0.8,1,-0.2,1,5,Poland
IEM_Health-CovidProject,inc death,1,PL,331,236,95,0,1.22,1.13,0.8,1,-0.34,1,5,Poland
ILM-EKF,inc death,1,PL,163,136,0,27,0.6,0.41,1,1,0.22,1,5,Poland
ITWW-county_repro,inc death,1,PL,353,13,0,339,1.3,1.03,0,0,1,1,5,Poland
LANL-GrowthRate,inc death,1,PL,171,40,131,0,0.63,0.69,0,0.6,-0.83,1,5,Poland
MIMUW-StochSEIR,inc death,1,PL,185,5,180,0,0.68,0.52,0,0.2,-0.98,1,5,Poland
MIT_CovidAnalytics-DELPHI,inc death,1,PL,340,93,247,0,1.26,1.45,0,0.8,-0.8,1,5,Poland
MOCOS-agent1,inc death,1,PL,128,94,29,5,0.47,0.32,0.8,1,-0.08,1,5,Poland
RobertWalraven-ESG,inc death,1,PL,208,31,177,0,0.77,0.79,0,0.6,-0.94,1,5,Poland
USC-SIkJalpha,inc death,1,PL,206,193,2,11,0.76,0.23,1,1,0.1,1,5,Poland
epiforecasts-EpiExpert,inc death,1,PL,139,47,92,0,0.51,0.52,0.4,1,-0.59,1,5,Poland
epiforecasts-EpiNow2,inc death,1,PL,265,69,0,196,0.98,0.99,0.4,0.8,0.7,1,5,Poland
EuroCOVIDhub-baseline,inc death,2,PL,537,43,494,0,1,1,0,0.5,-0.98,1,4,Poland
EuroCOVIDhub-ensemble,inc death,2,PL,199,180,4,15,0.37,0.2,1,1,0.1,1,4,Poland
ICM-agentModel,inc death,2,PL,1012,801,0,212,1.89,1.33,1,1,0.22,1,4,Poland
IEM_Health-CovidProject,inc death,2,PL,473,298,175,0,0.88,0.94,0.75,1,-0.42,1,4,Poland
ILM-EKF,inc death,2,PL,362,196,0,166,0.67,0.82,0.5,1,0.55,1,4,Poland
ITWW-county_repro,inc death,2,PL,835,29,0,806,1.55,1.24,0,0,1,1,4,Poland
LANL-GrowthRate,inc death,2,PL,295,68,227,0,0.55,0.62,0.25,0.75,-0.76,1,4,Poland
MIMUW-StochSEIR,inc death,2,PL,227,8,190,29,0.42,0.34,0,0,0,1,4,Poland
MIT_CovidAnalytics-DELPHI,inc death,2,PL,408,121,282,5,0.76,0.86,0.25,1,-0.59,1,4,Poland
MOCOS-agent1,inc death,2,PL,154,137,14,4,0.29,0.14,1,1,-0.05,1,4,Poland
RobertWalraven-ESG,inc death,2,PL,573,39,534,0,1.07,0.95,0,0,-1,1,4,Poland
USC-SIkJalpha,inc death,2,PL,291,206,0,85,0.54,0.58,1,1,0.35,1,4,Poland
epiforecasts-EpiExpert,inc death,2,PL,257,77,180,0,0.48,0.56,0.25,1,-0.69,1,4,Poland
epiforecasts-EpiNow2,inc death,2,PL,685,82,0,602,1.27,1.28,0,0,0.99,1,4,Poland
EuroCOVIDhub-baseline,inc case,1,PT,643,402,50,191,1,1,0.6,1,0.16,1,5,Portugal
EuroCOVIDhub-ensemble,inc case,1,PT,416,210,198,7,0.65,0.85,0.6,1,-0.39,1,5,Portugal
IEM_Health-CovidProject,inc case,1,PT,769,332,400,37,1.2,1.79,0.2,1,-0.51,1,5,Portugal
ILM-EKF,inc case,1,PT,500,182,317,0,0.78,1.24,0.4,1,-0.62,1,5,Portugal
LANL-GrowthRate,inc case,1,PT,622,217,405,0,0.97,1.45,0.6,0.8,-0.62,1,5,Portugal
USC-SIkJalpha,inc case,1,PT,445,238,49,158,0.69,0.86,0.4,0.8,0.1,1,5,Portugal
epiforecasts-EpiNow2,inc case,1,PT,478,177,207,94,0.74,1.06,0.4,1,-0.21,1,5,Portugal
EuroCOVIDhub-baseline,inc case,2,PT,1171,886,38,247,1,1,1,1,0.2,1,4,Portugal
EuroCOVIDhub-ensemble,inc case,2,PT,621,279,328,14,0.53,0.8,0.5,1,-0.4,1,4,Portugal
IEM_Health-CovidProject,inc case,2,PT,934,324,602,7,0.8,1.23,0.25,1,-0.55,1,4,Portugal
ILM-EKF,inc case,2,PT,793,221,572,0,0.68,1.19,0.25,1,-0.72,1,4,Portugal
LANL-GrowthRate,inc case,2,PT,705,271,434,0,0.6,0.94,0.5,1,-0.56,1,4,Portugal
USC-SIkJalpha,inc case,2,PT,643,225,244,173,0.55,0.8,0,0.5,0,1,4,Portugal
epiforecasts-EpiNow2,inc case,2,PT,968,431,287,250,0.83,1.32,0.5,1,-0.17,1,4,Portugal
EuroCOVIDhub-baseline,inc death,1,PT,28,10,0,18,1,1,0.4,1,0.6,1,5,Portugal
EuroCOVIDhub-ensemble,inc death,1,PT,6,5,0,0,0.21,0.09,1,1,0.1,1,5,Portugal
IEM_Health-CovidProject,inc death,1,PT,11,5,2,4,0.4,0.49,0.8,1,-0.18,1,5,Portugal
ILM-EKF,inc death,1,PT,13,11,2,0,0.47,0.27,1,1,-0.02,1,5,Portugal
LANL-GrowthRate,inc death,1,PT,8,2,5,1,0.29,0.33,0.6,1,-0.18,1,5,Portugal
RobertWalraven-ESG,inc death,1,PT,11,6,4,0,0.39,0.42,0.6,1,-0.46,1,5,Portugal
USC-SIkJalpha,inc death,1,PT,10,4,0,5,0.35,0.34,0.2,0.8,0.66,1,5,Portugal
epiforecasts-EpiNow2,inc death,1,PT,7,4,0,4,0.26,0.25,0.4,1,0.52,1,5,Portugal
EuroCOVIDhub-baseline,inc death,2,PT,50,19,0,30,1,1,0.5,1,0.6,1,4,Portugal
EuroCOVIDhub-ensemble,inc death,2,PT,6,6,0,1,0.12,0.06,1,1,0.12,1,4,Portugal
IEM_Health-CovidProject,inc death,2,PT,11,4,4,3,0.22,0.26,0.25,1,-0.25,1,4,Portugal
ILM-EKF,inc death,2,PT,11,9,2,0,0.22,0.12,1,1,-0.08,1,4,Portugal
LANL-GrowthRate,inc death,2,PT,10,3,6,1,0.19,0.2,0.5,1,-0.15,1,4,Portugal
RobertWalraven-ESG,inc death,2,PT,10,8,3,0,0.21,0.18,1,1,-0.32,1,4,Portugal
USC-SIkJalpha,inc death,2,PT,10,5,0,5,0.2,0.19,0.25,0.75,0.62,1,4,Portugal
epiforecasts-EpiNow2,inc death,2,PT,15,5,0,9,0.3,0.31,0,1,0.8,1,4,Portugal
EuroCOVIDhub-baseline,inc case,1,RO,2728,361,1620,747,1,1,0,1,-0.17,1,5,Romania
EuroCOVIDhub-ensemble,inc case,1,RO,2120,1380,56,684,0.78,0.77,0.8,1,0.26,1,5,Romania
IEM_Health-CovidProject,inc case,1,RO,2965,1568,112,1285,1.09,1.19,0.6,1,0.28,1,5,Romania
ILM-EKF,inc case,1,RO,2677,1331,53,1294,0.98,1.05,0.4,1,0.38,1,5,Romania
LANL-GrowthRate,inc case,1,RO,1593,1236,309,47,0.58,0.46,1,1,-0.12,1,5,Romania
USC-SIkJalpha,inc case,1,RO,2745,2158,282,304,1.01,0.79,1,1,0.04,1,5,Romania
epiforecasts-EpiNow2,inc case,1,RO,1784,990,0,793,0.65,0.72,0.6,1,0.46,1,5,Romania
EuroCOVIDhub-baseline,inc case,2,RO,4698,764,3122,812,1,1,0.25,0.75,-0.34,1,4,Romania
EuroCOVIDhub-ensemble,inc case,2,RO,4886,2424,178,2284,1.04,1.14,0.5,1,0.35,1,4,Romania
IEM_Health-CovidProject,inc case,2,RO,6130,2454,526,3150,1.3,1.46,0.25,1,0.3,1,4,Romania
ILM-EKF,inc case,2,RO,6631,2750,135,3746,1.41,1.48,0.5,1,0.45,1,4,Romania
LANL-GrowthRate,inc case,2,RO,3107,1639,457,1011,0.66,0.76,0.5,1,0.07,1,4,Romania
USC-SIkJalpha,inc case,2,RO,3972,2740,273,960,0.85,0.79,0.75,1,0.15,1,4,Romania
epiforecasts-EpiNow2,inc case,2,RO,5806,2261,0,3544,1.24,1.35,0.25,1,0.68,1,4,Romania
EuroCOVIDhub-baseline,inc death,1,RO,64,8,56,0,1,1,0.2,0.8,-0.82,1,5,Romania
EuroCOVIDhub-ensemble,inc death,1,RO,35,27,9,0,0.55,0.41,0.8,1,-0.3,1,5,Romania
IEM_Health-CovidProject,inc death,1,RO,60,40,17,2,0.93,0.94,1,1,-0.22,1,5,Romania
