model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,relative_skill,scaled_rel_skill,cov_50,cov_95,mae,n,continuous_weeks
LANL-GrowthRate,inc death,2,HR,13.779583074534157,5.861570652173915,7.438198757763969,0.4798136645962733,-0.05602484472049689,-0.4235714285714286,22.178571428571427,0.5472271993323239,NA,0.35714285714285715,0.9285714285714286,22.178571428571427,14,1
RobertWalraven-ESG,inc death,2,HR,36.23778637681159,4.392105217391305,19.18527536231884,12.66040579710145,-0.24608695652173912,-0.030000000000000006,45.459999999999994,1.5014774277455598,NA,0.3333333333333333,0.4666666666666667,45.459999999999994,15,17
USC-SIkJalpha,inc death,2,HR,22.597336231884057,8.34748115942029,1.9147826086956523,12.335072463768116,-0.14463768115942027,0.26666666666666666,28.866666666666667,1.0974370514875325,NA,0.4,0.6,28.866666666666667,15,17
epiforecasts-EpiExpert,inc death,2,HR,9.392444500080389,7.637845191986718,0.39503409070236695,1.3595652173913044,0.18869565217391304,0.14,11.87,0.44321351426330113,NA,1,1,11.87,5,0
epiforecasts-EpiNow2,inc death,2,HR,14.901374927536231,8.707461884057972,0.4765217391304343,5.717391304347826,0.043768115942028986,0.2,23.866666666666667,0.6363523183031025,NA,0.6,1,23.866666666666667,15,17
EuroCOVIDhub-ensemble,inc death,3,HR,33.32409937888199,14.05080745341615,4.577639751552795,14.695652173913043,-0.0777639751552795,0.26499999999999996,55,0.8429281683934706,NA,0.2857142857142857,0.8571428571428571,55,14,17
IEM_Health-CovidProject,inc death,3,HR,74.1830233436914,15.028340165205327,17.357926710028018,41.796756468458064,-0.27962732919254657,0.14785714285714285,107.1963348587233,1.8300699890113485,NA,0.21428571428571427,0.5,107.1963348587233,14,17
ILM-EKF,inc death,3,HR,43.872900227742676,27.81241119357017,1.6443399658495221,14.416149068322982,0.06198757763975155,0.2571428571428571,70.78207221749742,1.1077496273754162,NA,0.5,1,70.78207221749742,14,17
LANL-GrowthRate,inc death,3,HR,22.958840802675585,8.786934448160537,12.586622073578592,1.585284280936455,0.0027424749163879633,-0.20769230769230768,33.07692307692308,0.4294659044416427,NA,0.5384615384615384,0.9230769230769231,33.07692307692308,13,1
RobertWalraven-ESG,inc death,3,HR,65.50719068322981,5.043681366459627,38.61518633540373,21.84832298136646,-0.30447204968944097,-0.007142857142857133,77.29642857142856,1.445774853407372,NA,0.21428571428571427,0.42857142857142855,77.29642857142856,14,17
USC-SIkJalpha,inc death,3,HR,41.27611180124224,10.431391304347827,3.4695652173913043,27.375155279503105,-0.24857142857142858,0.375,54.785714285714285,1.0900578898961426,NA,0.2857142857142857,0.5,54.785714285714285,14,17
epiforecasts-EpiExpert,inc death,3,HR,26.510207198220783,9.775492223137938,6.519932366387193,10.214782608695652,-0.1591304347826087,0.22000000000000003,42.833999999999996,0.6204639968232551,NA,0.2,0.8,42.833999999999996,5,0
epiforecasts-EpiNow2,inc death,3,HR,29.65079891304348,14.671606366459628,0.7065217391304348,14.272670807453418,0.012298136645962734,0.24285714285714288,46.92857142857143,0.6731787592340531,NA,0.5714285714285714,1,46.92857142857143,14,17
EuroCOVIDhub-ensemble,inc death,4,HR,58.1485618729097,20.75056856187291,7.6287625418060205,29.76923076923077,-0.19123745819397994,0.3676923076923077,93.38461538461539,0.8479635155257048,NA,0.23076923076923078,0.7692307692307693,93.38461538461539,13,17
IEM_Health-CovidProject,inc death,4,HR,124.65889407070317,22.496318376447032,27.984861783025956,74.17771391123019,-0.33839464882943143,0.26,175.7344460748259,1.759940959396481,NA,0.23076923076923078,0.38461538461538464,175.7344460748259,13,17
ILM-EKF,inc death,4,HR,78.12876554197354,38.03845127890721,3.4648962028656487,36.62541806020067,-0.03739130434782609,0.36923076923076925,126.96913733668237,1.0909435627887203,NA,0.38461538461538464,1,126.96913733668237,13,17
LANL-GrowthRate,inc death,4,HR,41.31059420289854,13.251318840579717,21.12811594202897,6.931159420289855,-0.0808695652173913,0.005833333333333339,56.5,0.4405011142374238,NA,0.4166666666666667,0.8333333333333334,56.5,12,1
RobertWalraven-ESG,inc death,4,HR,98.16001672240803,5.65566889632107,60.914314381270906,31.590033444816054,-0.38521739130434784,0.04615384615384614,113.66615384615385,1.2370546925398342,NA,0.15384615384615385,0.3076923076923077,113.66615384615385,13,17
UMass-MechBayes,inc death,1,HR,10.581772575250836,7.324247491638796,0.32441471571906355,2.9331103678929766,0.17665551839464882,0.1846153846153846,13.692307692307692,0.8370928330453965,NA,0.7692307692307693,1,13.692307692307692,13,14
UMass-SemiMech,inc death,1,HR,10.915886287625419,7.564715719063545,0.8963210702341138,2.4548494983277593,0.20006688963210703,0.1692307692307692,14.76923076923077,0.8648561911552457,NA,0.6923076923076923,1,14.76923076923077,13,14
USC-SIkJalpha,inc death,4,HR,66.40720401337794,15.088140468227424,6.862876254180602,44.4561872909699,-0.3317056856187291,0.47692307692307695,85.53846153846153,0.9981954987163598,NA,0.15384615384615385,0.38461538461538464,85.53846153846153,13,17
epiforecasts-EpiExpert,inc death,4,HR,55.06359112810233,12.668836870693486,17.709102083495804,24.685652173913045,-0.31565217391304345,0.216,86.158,0.7025684316357208,NA,0,0.6,86.158,5,0
epiforecasts-EpiNow2,inc death,4,HR,57.903889464882944,26.240678762541805,0.842809364548495,30.820401337792642,-0.044080267558528424,0.3,92.26923076923077,0.6947289651699152,NA,0.46153846153846156,1,92.26923076923077,13,17
LANL-GrowthRate,inc death,5,HR,65.64918206521739,16.80106612318841,31.24304347826086,17.605072463768117,-0.18956521739130436,0.09416666666666665,89.45833333333333,0.807222032210782,NA,0.3333333333333333,0.5833333333333334,89.45833333333333,12,1
UMass-MechBayes,inc death,2,HR,19.99231884057971,10.724202898550725,1.1666666666666667,8.101449275362318,0.03144927536231884,0.3458333333333333,30.666666666666668,0.8552958195745193,NA,0.5,1,30.666666666666668,12,14
UMass-SemiMech,inc death,2,HR,20.160072463768117,11.036884057971015,1.1557971014492754,7.967391304347826,0.013333333333333336,0.375,33,0.94685962574769,NA,0.5,1,33,12,14
USC-SIkJalpha,inc death,5,HR,100.74959420289855,21.814811594202897,8.681884057971015,70.25289855072464,-0.356231884057971,0.42083333333333334,130.58333333333334,1.2388165338615036,NA,0.08333333333333333,0.4166666666666667,130.58333333333334,12,17
