model,target_variable,location,horizon,weight
ILM-EKF,inc case,SK,1,0.1672519193319215
LANL-GrowthRate,inc case,SK,1,0.19401222642502894
USC-SIkJalpha,inc case,SK,1,0.09700611321251447
epiforecasts-EpiExpert,inc case,SK,1,0.1796409503935453
epiforecasts-EpiNow2,inc case,SK,1,0.2273580778418308
IEM_Health-CovidProject,inc death,SK,1,0.13952970792757605
ILM-EKF,inc death,SK,1,0.1135706924991898
LANL-GrowthRate,inc death,SK,1,0.21704621233178498
RobertWalraven-ESG,inc death,SK,1,0.10390510164819493
USC-SIkJalpha,inc death,SK,1,0.13952970792757605
epiforecasts-EpiExpert,inc death,SK,1,0.12363391841683952
epiforecasts-EpiNow2,inc death,SK,1,0.16278465924883873
