weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,compare_against,mean_scores_ratio,cov_50,cov_95,bias,n,n_loc,location_name
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,Overall,0.75,0.68,EuroCOVIDhub-mean,0.82,0.5,0.92,0.06,1092,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,Overall,0.75,0.68,EuroCOVIDhub-median,1.09,0.5,0.92,0.06,1092,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,Overall,0.75,0.68,EuroCOVIDhub-All_relative_skill_weighted_mean,0.81,0.5,0.92,0.06,1092,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,Overall,0.75,0.68,EuroCOVIDhub-All_relative_skill_weighted_median,1,0.5,0.92,0.06,1092,30,NA
All,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,EuroCOVIDhub-median,1.61,0.57,0.87,-0.02,1285,31,NA
All,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,EuroCOVIDhub-All_relative_skill_weighted_median,1.48,0.57,0.87,-0.02,1285,31,NA
All,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,EuroCOVIDhub-All_relative_skill_weighted_mean,1.2,0.57,0.87,-0.02,1285,31,NA
All,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,EuroCOVIDhub-mean,1.18,0.57,0.87,-0.02,1285,31,NA
All,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,EuroCOVIDhub-baseline,1,0.57,0.87,-0.02,1285,31,NA
All,EuroCOVIDhub-mean,inc death,4,Overall,0.88,0.84,EuroCOVIDhub-baseline,0.85,0.54,0.91,0.17,1183,31,NA
All,EuroCOVIDhub-mean,inc death,4,Overall,0.88,0.84,EuroCOVIDhub-median,1.36,0.54,0.91,0.17,1183,31,NA
All,EuroCOVIDhub-mean,inc death,4,Overall,0.88,0.84,EuroCOVIDhub-All_relative_skill_weighted_median,1.22,0.54,0.91,0.17,1183,31,NA
All,EuroCOVIDhub-mean,inc death,4,Overall,0.88,0.84,EuroCOVIDhub-All_relative_skill_weighted_mean,0.99,0.54,0.91,0.17,1183,31,NA
All,EuroCOVIDhub-mean,inc death,4,Overall,0.88,0.84,EuroCOVIDhub-mean,1,0.54,0.91,0.17,1183,31,NA
All,EuroCOVIDhub-median,inc death,4,Overall,0.69,0.62,EuroCOVIDhub-baseline,0.62,0.51,0.92,-0.01,1183,31,NA
All,EuroCOVIDhub-median,inc death,4,Overall,0.69,0.62,EuroCOVIDhub-All_relative_skill_weighted_median,0.92,0.51,0.92,-0.01,1183,31,NA
All,EuroCOVIDhub-median,inc death,4,Overall,0.69,0.62,EuroCOVIDhub-All_relative_skill_weighted_mean,0.75,0.51,0.92,-0.01,1183,31,NA
All,EuroCOVIDhub-median,inc death,4,Overall,0.69,0.62,EuroCOVIDhub-mean,0.73,0.51,0.92,-0.01,1183,31,NA
All,EuroCOVIDhub-median,inc death,4,Overall,0.69,0.62,EuroCOVIDhub-median,1,0.51,0.92,-0.01,1183,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,Overall,0.69,0.65,EuroCOVIDhub-mean,0.35,0.64,0.96,0.06,1184,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,Overall,0.69,0.65,EuroCOVIDhub-baseline,0.65,0.64,0.96,0.06,1184,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,Overall,0.69,0.65,EuroCOVIDhub-All_relative_skill_weighted_median,1.06,0.64,0.96,0.06,1184,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,Overall,0.69,0.65,EuroCOVIDhub-median,1.08,0.64,0.96,0.06,1184,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,Overall,0.69,0.65,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.64,0.96,0.06,1184,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,Overall,0.66,0.61,EuroCOVIDhub-mean,0.33,0.61,0.96,0.03,1184,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,Overall,0.66,0.61,EuroCOVIDhub-baseline,0.61,0.61,0.96,0.03,1184,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,Overall,0.66,0.61,EuroCOVIDhub-median,1.01,0.61,0.96,0.03,1184,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,Overall,0.66,0.61,EuroCOVIDhub-All_relative_skill_weighted_mean,0.94,0.61,0.96,0.03,1184,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,Overall,0.66,0.61,EuroCOVIDhub-All_relative_skill_weighted_median,1,0.61,0.96,0.03,1184,32,NA
All,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,EuroCOVIDhub-All_relative_skill_weighted_median,1.63,0.43,0.95,-0.01,1386,32,NA
