model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,CH,2,0.16059551872938752
ILM-EKF,inc case,CH,2,0.1944990171278138
Karlen-pypm,inc case,CH,2,0.03764497105699621
LANL-GrowthRate,inc case,CH,2,0.1667134432524118
MUNI-ARIMA,inc case,CH,2,0.09945972466763206
RobertWalraven-ESG,inc case,CH,2,0.1378339491456948
USC-SIkJalpha,inc case,CH,2,0.11989665439385781
epiforecasts-EpiNow2,inc case,CH,2,0.0833567216262059
IEM_Health-CovidProject,inc case,CH,3,0.1607040956320205
ILM-EKF,inc case,CH,3,0.17382279731626712
Karlen-pypm,inc case,CH,3,0.04401714247285317
LANL-GrowthRate,inc case,CH,3,0.1653847974465454
MUNI-ARIMA,inc case,CH,3,0.0967876939601942
RobertWalraven-ESG,inc case,CH,3,0.12905025861359226
USC-SIkJalpha,inc case,CH,3,0.1607040956320205
epiforecasts-EpiNow2,inc case,CH,3,0.06952911892650684
IEM_Health-CovidProject,inc case,CH,4,0.14666924337932946
ILM-EKF,inc case,CH,4,0.13784703325124947
Karlen-pypm,inc case,CH,4,0.028512683394115366
LANL-GrowthRate,inc case,CH,4,0.17628514829246325
MUNI-ARIMA,inc case,CH,4,0.10357997413794452
RobertWalraven-ESG,inc case,CH,4,0.13889132895769835
USC-SIkJalpha,inc case,CH,4,0.1833365542241618
epiforecasts-EpiNow2,inc case,CH,4,0.08487803436303787
IEM_Health-CovidProject,inc death,CH,1,0.10882430943914234
ILM-EKF,inc death,CH,1,0.07681715960410047
Karlen-pypm,inc death,CH,1,0.25275323482639517
LANL-GrowthRate,inc death,CH,1,0.08335479020870477
MUNI-ARIMA,inc death,CH,1,0.10447133706157664
RobertWalraven-ESG,inc death,CH,1,0.13509224620031465
UMass-MechBayes,inc death,CH,1,0.07188394751943347
USC-SIkJalpha,inc death,CH,1,0.09218059152492057
epiforecasts-EpiNow2,inc death,CH,1,0.07462238361541189
IEM_Health-CovidProject,inc death,CH,2,0.10739101504420541
ILM-EKF,inc death,CH,2,0.07580542238414499
Karlen-pypm,inc death,CH,2,0.19610533181985335
LANL-GrowthRate,inc death,CH,2,0.10368787659440522
MUNI-ARIMA,inc death,CH,2,0.11418791473054751
RobertWalraven-ESG,inc death,CH,2,0.15826044322303956
UMass-MechBayes,inc death,CH,2,0.09020845263713254
USC-SIkJalpha,inc death,CH,2,0.10250960526946881
epiforecasts-EpiNow2,inc death,CH,2,0.05184393829720261
IEM_Health-CovidProject,inc death,CH,3,0.1005255982017283
ILM-EKF,inc death,CH,3,0.06916161156278906
Karlen-pypm,inc death,CH,3,0.11227534344608614
LANL-GrowthRate,inc death,CH,3,0.0855960539143429
MUNI-ARIMA,inc death,CH,3,0.12350287779069476
RobertWalraven-ESG,inc death,CH,3,0.2010511964034566
UMass-MechBayes,inc death,CH,3,0.1350812725835724
USC-SIkJalpha,inc death,CH,3,0.1465288380567565
epiforecasts-EpiNow2,inc death,CH,3,0.02627720804057335
IEM_Health-CovidProject,inc death,CH,4,0.11120478161954649
ILM-EKF,inc death,CH,4,0.057878512070992025
Karlen-pypm,inc death,CH,4,0.09425929108704416
LANL-GrowthRate,inc death,CH,4,0.10099209759326161
MUNI-ARIMA,inc death,CH,4,0.1302266521597321
RobertWalraven-ESG,inc death,CH,4,0.21057926732211993
UMass-MechBayes,inc death,CH,4,0.1206978727334102
USC-SIkJalpha,inc death,CH,4,0.15226500867907133
epiforecasts-EpiNow2,inc death,CH,4,0.021896516734822208
