model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_mean,inc death,4,AT,1.04,0.95,0.3,0.9,0.08,10,1,Austria
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_median,inc death,4,AT,0.89,0.75,0.5,0.8,-0.11,10,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_mean,inc death,4,AT,1.24,1.1,0.4,0.7,-0.01,10,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_median,inc death,4,AT,0.8,0.86,0.5,0.7,-0.11,10,1,Austria
EuroCOVIDhub-ensemble,inc death,4,AT,0.71,0.66,0.3,1,0.05,10,1,Austria
EuroCOVIDhub-mean,inc death,4,AT,0.99,0.83,0.3,0.9,0.14,10,1,Austria
EuroCOVIDhub-median,inc death,4,AT,0.63,0.54,0.5,1,-0.06,10,1,Austria
IEM_Health-CovidProject,inc death,4,AT,0.78,0.81,0.4,0.8,-0.34,10,1,Austria
ILM-EKF,inc death,4,AT,0.53,0.68,0.7,1,0.03,10,1,Austria
Karlen-pypm,inc death,4,AT,1.36,1.1,0.25,0.88,0.09,8,1,Austria
LANL-GrowthRate,inc death,4,AT,0.95,1.22,0.2,0.6,-0.17,10,1,Austria
MUNI-ARIMA,inc death,4,AT,0.91,0.8,0.6,1,-0.31,10,1,Austria
RobertWalraven-ESG,inc death,4,AT,0.67,0.7,0.7,0.8,-0.32,10,1,Austria
UMass-MechBayes,inc death,4,AT,0.75,0.76,0.4,0.8,0.21,10,1,Austria
USC-SIkJalpha,inc death,4,AT,0.88,0.97,0,0.1,0.02,10,1,Austria
USyd-OneModelMan,inc death,4,AT,0.76,NA,NA,NA,NA,10,1,Austria
epiforecasts-EpiNow2,inc death,4,AT,2.56,2.47,0.6,0.9,0.26,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc death,3,AT,0.78,0.62,0.4,1,0.14,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc death,3,AT,0.64,0.6,0.4,0.9,0.08,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc death,3,AT,0.74,0.63,0.4,1,0.09,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_median,inc death,3,AT,0.68,0.62,0.4,0.9,-0,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_mean,inc death,3,AT,0.69,0.6,0.3,1,0.13,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_median,inc death,3,AT,0.63,0.59,0.5,0.9,0.01,10,1,Austria
EuroCOVIDhub-baseline,inc death,3,AT,1,1,0.9,1,-0.21,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_mean,inc death,3,AT,0.62,0.61,0.4,1,0.13,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_median,inc death,3,AT,0.63,0.59,0.4,0.9,0.05,10,1,Austria
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_mean,inc death,3,AT,0.75,0.74,0.4,1,0.08,10,1,Austria
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_median,inc death,3,AT,0.84,0.78,0.4,0.8,0.01,10,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_mean,inc death,3,AT,0.77,0.73,0.3,0.9,0.09,10,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_median,inc death,3,AT,0.78,0.74,0.4,0.8,0.06,10,1,Austria
EuroCOVIDhub-ensemble,inc death,3,AT,0.67,0.62,0.4,1,-0,10,1,Austria
EuroCOVIDhub-mean,inc death,3,AT,0.71,0.61,0.3,1,0.15,10,1,Austria
EuroCOVIDhub-median,inc death,3,AT,0.65,0.59,0.5,1,-0.04,10,1,Austria
IEM_Health-CovidProject,inc death,3,AT,0.6,0.6,0.5,0.8,-0.3,10,1,Austria
ILM-EKF,inc death,3,AT,0.58,0.65,0.8,1,0.06,10,1,Austria
Karlen-pypm,inc death,3,AT,0.94,0.86,0.22,0.78,0.13,9,1,Austria
LANL-GrowthRate,inc death,3,AT,0.91,1.21,0.2,0.5,-0.24,10,1,Austria
MUNI-ARIMA,inc death,3,AT,0.77,0.68,0.7,1,-0.24,10,1,Austria
RobertWalraven-ESG,inc death,3,AT,0.67,0.65,0.7,0.8,-0.26,10,1,Austria
UMass-MechBayes,inc death,3,AT,0.66,0.64,0.3,0.7,0.28,10,1,Austria
USC-SIkJalpha,inc death,3,AT,0.8,1,0,0.1,0.38,10,1,Austria
USyd-OneModelMan,inc death,3,AT,0.63,NA,NA,NA,NA,10,1,Austria
epiforecasts-EpiNow2,inc death,3,AT,1.27,1.33,0.2,0.9,0.25,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc death,2,AT,0.66,0.57,0.4,1,0.07,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc death,2,AT,0.8,0.6,0.3,1,0.04,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc death,2,AT,0.76,0.6,0.4,1,0.03,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_median,inc death,2,AT,0.74,0.63,0.4,0.9,-0.05,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_mean,inc death,2,AT,0.7,0.59,0.3,1,0.02,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_median,inc death,2,AT,0.86,0.65,0.3,1,0.03,10,1,Austria
EuroCOVIDhub-baseline,inc death,2,AT,1,1,0.8,1,-0.21,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_mean,inc death,2,AT,0.62,0.55,0.4,1,0.07,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_median,inc death,2,AT,0.72,0.56,0.4,1,0.04,10,1,Austria
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_mean,inc death,2,AT,0.72,0.65,0.4,1,0.04,10,1,Austria
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_median,inc death,2,AT,0.86,0.69,0.5,0.9,-0.05,10,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_mean,inc death,2,AT,0.69,0.62,0.2,1,-0,10,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_median,inc death,2,AT,0.76,0.64,0.3,0.9,-0.01,10,1,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,0.85,0.66,0.3,0.9,0.01,10,1,Austria
EuroCOVIDhub-mean,inc death,2,AT,0.72,0.57,0.4,1,0.04,10,1,Austria
EuroCOVIDhub-median,inc death,2,AT,0.79,0.63,0.3,0.9,0.02,10,1,Austria
IEM_Health-CovidProject,inc death,2,AT,0.53,0.51,0.2,0.7,-0.18,10,1,Austria
ILM-EKF,inc death,2,AT,0.57,0.71,0.8,1,0.13,10,1,Austria
Karlen-pypm,inc death,2,AT,0.88,0.77,0.4,0.8,0.06,10,1,Austria
LANL-GrowthRate,inc death,2,AT,1.19,1.34,0.2,0.5,-0.33,10,1,Austria
MUNI-ARIMA,inc death,2,AT,0.75,0.68,0.5,1,-0.17,10,1,Austria
RobertWalraven-ESG,inc death,2,AT,0.87,0.74,0.5,0.9,-0.15,10,1,Austria
UMass-MechBayes,inc death,2,AT,0.71,0.61,0.3,0.9,0.17,10,1,Austria
USC-SIkJalpha,inc death,2,AT,0.94,1.01,0.2,0.3,0.1,10,1,Austria
USyd-OneModelMan,inc death,2,AT,0.51,NA,NA,NA,NA,10,1,Austria
epiforecasts-EpiNow2,inc death,2,AT,1.01,0.87,0.2,0.9,0.24,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc death,1,AT,0.65,0.62,0.6,1,0.02,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc death,1,AT,0.68,0.62,0.6,0.9,-0.04,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc death,1,AT,0.67,0.63,0.7,1,-0.01,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_median,inc death,1,AT,0.63,0.64,0.6,0.9,-0.09,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_mean,inc death,1,AT,0.68,0.64,0.7,1,-0.02,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_median,inc death,1,AT,0.66,0.63,0.5,0.9,-0.08,10,1,Austria
EuroCOVIDhub-baseline,inc death,1,AT,1,1,0.8,1,-0.21,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_mean,inc death,1,AT,0.61,0.6,0.6,1,0.03,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_median,inc death,1,AT,0.68,0.6,0.6,0.9,-0.01,10,1,Austria
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_mean,inc death,1,AT,0.72,0.7,0.7,1,0.03,10,1,Austria
EuroCOVIDhub-cutoff_5_weeks_history_relative_skill_weighted_median,inc death,1,AT,0.74,0.74,0.7,0.9,-0.03,10,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_mean,inc death,1,AT,0.7,0.65,0.4,0.9,-0.04,10,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_median,inc death,1,AT,0.7,0.67,0.4,0.9,-0.07,10,1,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,0.67,0.57,0.5,0.9,-0.09,10,1,Austria
EuroCOVIDhub-mean,inc death,1,AT,0.71,0.62,0.7,1,-0.01,10,1,Austria
EuroCOVIDhub-median,inc death,1,AT,0.68,0.6,0.4,0.9,-0.11,10,1,Austria
IEM_Health-CovidProject,inc death,1,AT,0.54,0.63,0.2,0.8,-0.09,10,1,Austria
ILM-EKF,inc death,1,AT,0.65,0.89,0.9,1,0.12,10,1,Austria
Karlen-pypm,inc death,1,AT,0.77,0.74,0.4,0.9,-0.03,10,1,Austria
LANL-GrowthRate,inc death,1,AT,1.03,1.39,0.4,0.6,-0.32,10,1,Austria
MUNI-ARIMA,inc death,1,AT,0.54,0.66,0.7,1,-0.08,10,1,Austria
RobertWalraven-ESG,inc death,1,AT,0.6,0.57,0.8,0.9,-0.06,10,1,Austria
SDSC_ISG-TrendModel,inc death,1,AT,0.66,NA,NA,NA,NA,10,1,Austria
UMass-MechBayes,inc death,1,AT,0.86,0.86,0.1,0.8,0.07,10,1,Austria
USC-SIkJalpha,inc death,1,AT,0.77,0.93,0.2,0.6,-0.13,10,1,Austria
USyd-OneModelMan,inc death,1,AT,0.62,NA,NA,NA,NA,10,1,Austria
epiforecasts-EpiNow2,inc death,1,AT,0.72,0.72,0.5,1,0.09,10,1,Austria
LANL-GrowthRate,inc death,5,AT,NA,NA,0.1,0.4,-0.06,10,1,Austria
USC-SIkJalpha,inc death,5,AT,NA,NA,0.1,0.3,-0.05,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc case,4,BE,1.87,2.06,0.7,0.8,-0.12,10,1,Belgium
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc case,4,BE,0.97,1.18,0.8,0.8,-0.3,10,1,Belgium
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc case,4,BE,1.89,2.06,0.7,0.8,-0.12,10,1,Belgium
