location_name,location,indicator,date,value,source,type
Austria,AT,Daily hospital occupancy,2021-04-16,1550,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-17,1507,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-18,1475,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-19,1554,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-20,1531,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-21,1417,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-22,1403,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-23,1356,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-24,1309,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-25,1279,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-26,1333,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-04-27,1392,Public,ECDC
