location_name,location,target_variable,date,value,source,snapshot_date
Austria,AT,inc case,2022-11-26,30238,ECDC,2023-11-24
Austria,AT,inc death,2022-12-03,53,ECDC,2023-11-24
Austria,AT,inc case,2022-12-03,33270,ECDC,2023-11-24
Austria,AT,inc death,2022-12-10,42,ECDC,2023-11-24
Austria,AT,inc case,2022-12-10,33258,ECDC,2023-11-24
Austria,AT,inc death,2022-12-17,58,ECDC,2023-11-24
Austria,AT,inc case,2022-12-17,34730,ECDC,2023-11-24
Austria,AT,inc death,2022-12-24,73,ECDC,2023-11-24
Austria,AT,inc case,2022-12-24,32948,ECDC,2023-11-24
Austria,AT,inc death,2022-12-31,77,ECDC,2023-11-24
Austria,AT,inc case,2022-12-31,24803,ECDC,2023-11-24
Austria,AT,inc death,2023-01-07,64,ECDC,2023-11-24
Austria,AT,inc case,2023-01-07,18797,ECDC,2023-11-24
Austria,AT,inc death,2023-01-14,54,ECDC,2023-11-24
Austria,AT,inc case,2023-01-14,14951,ECDC,2023-11-24
Austria,AT,inc death,2023-01-21,45,ECDC,2023-11-24
Austria,AT,inc case,2023-01-21,13848,ECDC,2023-11-24
Austria,AT,inc death,2023-01-28,48,ECDC,2023-11-24
Austria,AT,inc case,2023-01-28,19928,ECDC,2023-11-24
Austria,AT,inc death,2023-02-04,47,ECDC,2023-11-24
Austria,AT,inc case,2023-02-04,26725,ECDC,2023-11-24
Austria,AT,inc death,2023-02-11,37,ECDC,2023-11-24
Austria,AT,inc case,2023-02-11,28849,ECDC,2023-11-24
Austria,AT,inc death,2023-02-18,35,ECDC,2023-11-24
Austria,AT,inc case,2023-02-18,34144,ECDC,2023-11-24
Austria,AT,inc death,2023-02-25,59,ECDC,2023-11-24
Austria,AT,inc case,2023-02-25,38954,ECDC,2023-11-24
Austria,AT,inc death,2023-03-04,64,ECDC,2023-11-24
Austria,AT,inc case,2023-03-04,37924,ECDC,2023-11-24
Austria,AT,inc death,2023-03-11,60,ECDC,2023-11-24
Austria,AT,inc case,2023-03-11,33257,ECDC,2023-11-24
Austria,AT,inc death,2023-03-18,56,ECDC,2023-11-24
Austria,AT,inc case,2023-03-18,27076,ECDC,2023-11-24
Austria,AT,inc death,2023-03-25,50,ECDC,2023-11-24
Austria,AT,inc case,2023-03-25,21252,ECDC,2023-11-24
Austria,AT,inc death,2023-04-01,45,ECDC,2023-11-24
Austria,AT,inc case,2023-04-01,13065,ECDC,2023-11-24
Austria,AT,inc death,2023-04-08,31,ECDC,2023-11-24
Austria,AT,inc case,2023-04-08,8979,ECDC,2023-11-24
Austria,AT,inc death,2023-04-15,31,ECDC,2023-11-24
Austria,AT,inc case,2023-04-15,7160,ECDC,2023-11-24
Austria,AT,inc death,2023-04-22,38,ECDC,2023-11-24
Austria,AT,inc case,2023-04-22,6588,ECDC,2023-11-24
Austria,AT,inc death,2023-04-29,24,ECDC,2023-11-24
Austria,AT,inc case,2023-04-29,5175,ECDC,2023-11-24
Austria,AT,inc death,2023-05-06,22,ECDC,2023-11-24
Austria,AT,inc case,2023-05-06,3629,ECDC,2023-11-24
Austria,AT,inc death,2023-05-13,11,ECDC,2023-11-24
Austria,AT,inc case,2023-05-13,2825,ECDC,2023-11-24
Austria,AT,inc death,2023-05-20,14,ECDC,2023-11-24
Austria,AT,inc case,2023-05-20,2219,ECDC,2023-11-24
Austria,AT,inc death,2023-05-27,10,ECDC,2023-11-24
Austria,AT,inc case,2023-05-27,2117,ECDC,2023-11-24
Austria,AT,inc death,2023-06-03,9,ECDC,2023-11-24
Austria,AT,inc case,2023-06-03,1412,ECDC,2023-11-24
Austria,AT,inc death,2023-06-10,7,ECDC,2023-11-24
Austria,AT,inc case,2023-06-10,1087,ECDC,2023-11-24
Austria,AT,inc death,2023-06-17,5,ECDC,2023-11-24
Austria,AT,inc case,2023-06-17,970,ECDC,2023-11-24
Austria,AT,inc death,2023-06-24,5,ECDC,2023-11-24
Austria,AT,inc case,2023-06-24,825,ECDC,2023-11-24
Austria,AT,inc case,2023-07-01,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-07-01,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-07-08,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-07-08,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-07-15,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-07-15,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-07-22,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-07-22,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-07-29,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-07-29,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-08-05,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-08-05,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-08-12,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-08-12,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-08-19,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-08-19,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-08-26,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-08-26,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-09-02,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-09-02,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-09-09,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-09-09,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-09-16,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-09-16,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-09-23,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-09-23,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-09-30,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-09-30,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-10-07,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-10-07,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-10-14,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-10-14,NA,ECDC,2023-11-24
Austria,AT,inc case,2023-10-21,NA,ECDC,2023-11-24
Austria,AT,inc death,2023-10-21,NA,ECDC,2023-11-24
Belgium,BE,inc case,2020-01-04,NA,ECDC,2023-11-24
Belgium,BE,inc death,2020-01-04,NA,ECDC,2023-11-24
Belgium,BE,inc case,2020-01-11,NA,ECDC,2023-11-24
Belgium,BE,inc death,2020-01-11,NA,ECDC,2023-11-24
Belgium,BE,inc case,2020-01-18,NA,ECDC,2023-11-24
Belgium,BE,inc death,2020-01-18,NA,ECDC,2023-11-24
Belgium,BE,inc case,2020-01-25,NA,ECDC,2023-11-24
Belgium,BE,inc death,2020-01-25,NA,ECDC,2023-11-24
Belgium,BE,inc death,2020-02-01,0,ECDC,2023-11-24
Belgium,BE,inc case,2020-02-01,2,ECDC,2023-11-24
Belgium,BE,inc case,2020-02-08,0,ECDC,2023-11-24
Belgium,BE,inc death,2020-02-08,0,ECDC,2023-11-24
Belgium,BE,inc case,2020-02-15,0,ECDC,2023-11-24
Belgium,BE,inc death,2020-02-15,NA,ECDC,2023-11-24
Belgium,BE,inc case,2020-02-22,0,ECDC,2023-11-24
Belgium,BE,inc death,2020-02-22,NA,ECDC,2023-11-24
Belgium,BE,inc case,2020-02-29,0,ECDC,2023-11-24
Belgium,BE,inc death,2020-02-29,0,ECDC,2023-11-24
Belgium,BE,inc case,2020-03-07,0,ECDC,2023-11-24
Belgium,BE,inc death,2020-03-07,0,ECDC,2023-11-24
Belgium,BE,inc death,2020-03-14,0,ECDC,2023-11-24
Belgium,BE,inc case,2020-03-14,3678,ECDC,2023-11-24
Belgium,BE,inc death,2020-03-21,195,ECDC,2023-11-24
Belgium,BE,inc case,2020-03-21,3673,ECDC,2023-11-24
Belgium,BE,inc death,2020-03-28,783,ECDC,2023-11-24
Belgium,BE,inc case,2020-03-28,8130,ECDC,2023-11-24
Belgium,BE,inc death,2020-04-04,1584,ECDC,2023-11-24
Belgium,BE,inc case,2020-04-04,9694,ECDC,2023-11-24
