weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-baseline,inc case,3,CY,1,1,1,1,1,0.11,7,1,Cyprus
10,EuroCOVIDhub-ensemble,inc case,3,CY,1.2,0.44,0.56,1,1,0.01,7,1,Cyprus
10,epiforecasts-EpiNow2,inc case,3,CY,2.35,0.66,0.61,0.2,0.4,-0.74,5,1,Cyprus
10,epiforecasts-tsensemble,inc case,3,CY,1.19,0.32,0.3,0.8,1,0.16,5,1,Cyprus
10,epiforecasts-weeklygrowth,inc case,3,CY,2,0.52,0.48,0.8,1,-0.4,5,1,Cyprus
10,EuroCOVIDhub-baseline,inc case,4,CY,1,1,1,1,1,0.08,6,1,Cyprus
10,EuroCOVIDhub-ensemble,inc case,4,CY,1.11,0.4,0.55,1,1,-0.03,6,1,Cyprus
10,epiforecasts-EpiNow2,inc case,4,CY,3.39,0.6,0.54,0,0.5,-0.9,4,1,Cyprus
10,epiforecasts-tsensemble,inc case,4,CY,1.04,0.22,0.2,0.75,1,0.17,4,1,Cyprus
10,epiforecasts-weeklygrowth,inc case,4,CY,2.86,0.48,0.44,1,1,-0.42,4,1,Cyprus
10,EuroCOVIDhub-baseline,inc death,1,CY,1,1,1,1,1,-0.03,8,1,Cyprus
10,EuroCOVIDhub-ensemble,inc death,1,CY,1,1,1,1,1,-0.06,8,1,Cyprus
10,EuroCOVIDhub-baseline,inc death,2,CY,1,1,1,1,1,-0.03,7,1,Cyprus
10,EuroCOVIDhub-ensemble,inc death,2,CY,1,1,1,1,1,-0.03,7,1,Cyprus
10,EuroCOVIDhub-baseline,inc death,3,CY,1,1,1,1,1,-0.02,6,1,Cyprus
10,EuroCOVIDhub-ensemble,inc death,3,CY,1.12,1.86,1.86,1,1,0.05,6,1,Cyprus
10,EuroCOVIDhub-baseline,inc death,4,CY,1,1,1,1,1,-0.04,5,1,Cyprus
10,EuroCOVIDhub-ensemble,inc death,4,CY,0.75,1.17,1.17,1,1,-0.04,5,1,Cyprus
10,EuroCOVIDhub-baseline,inc case,1,CZ,1,1,1,0.56,1,0.54,9,1,Czechia
10,EuroCOVIDhub-ensemble,inc case,1,CZ,0.96,0.75,0.81,0.67,1,0.58,9,1,Czechia
