location,forecast_date,target_end_date,target,type,quantile,value
HU,2022-01-02,2022-04-02,13 wk ahead inc case,point,NA,46396
HU,2022-01-02,2022-04-09,14 wk ahead inc case,point,NA,39572
HU,2022-01-02,2022-04-16,15 wk ahead inc case,point,NA,29216
HU,2022-01-02,2022-04-23,16 wk ahead inc case,point,NA,19862
HU,2022-01-02,2022-04-30,17 wk ahead inc case,point,NA,14047
HU,2022-01-02,2022-05-07,18 wk ahead inc case,point,NA,11735
HU,2022-01-02,2022-05-14,19 wk ahead inc case,point,NA,12938
HU,2022-01-02,2022-01-08,1 wk ahead inc death,point,NA,128
HU,2022-01-02,2022-01-15,2 wk ahead inc death,point,NA,95
HU,2022-01-02,2022-01-22,3 wk ahead inc death,point,NA,85
HU,2022-01-02,2022-01-29,4 wk ahead inc death,point,NA,94
HU,2022-01-02,2022-02-05,5 wk ahead inc death,point,NA,111
HU,2022-01-02,2022-02-12,6 wk ahead inc death,point,NA,131
HU,2022-01-02,2022-02-19,7 wk ahead inc death,point,NA,156
HU,2022-01-02,2022-02-26,8 wk ahead inc death,point,NA,185
HU,2022-01-02,2022-03-05,9 wk ahead inc death,point,NA,218
HU,2022-01-02,2022-03-12,10 wk ahead inc death,point,NA,252
HU,2022-01-02,2022-03-19,11 wk ahead inc death,point,NA,274
HU,2022-01-02,2022-03-26,12 wk ahead inc death,point,NA,276
HU,2022-01-02,2022-04-02,13 wk ahead inc death,point,NA,249
HU,2022-01-02,2022-04-09,14 wk ahead inc death,point,NA,203
HU,2022-01-02,2022-04-16,15 wk ahead inc death,point,NA,155
HU,2022-01-02,2022-04-23,16 wk ahead inc death,point,NA,121
HU,2022-01-02,2022-04-30,17 wk ahead inc death,point,NA,104
HU,2022-01-02,2022-05-07,18 wk ahead inc death,point,NA,104
HU,2022-01-02,2022-05-14,19 wk ahead inc death,point,NA,116
IE,2022-01-02,2022-01-08,1 wk ahead inc case,point,NA,100340
IE,2022-01-02,2022-01-15,2 wk ahead inc case,point,NA,54684
IE,2022-01-02,2022-01-22,3 wk ahead inc case,point,NA,30473
IE,2022-01-02,2022-01-29,4 wk ahead inc case,point,NA,15031
IE,2022-01-02,2022-02-05,5 wk ahead inc case,point,NA,8329
IE,2022-01-02,2022-02-12,6 wk ahead inc case,point,NA,6907
IE,2022-01-02,2022-02-19,7 wk ahead inc case,point,NA,6554
IE,2022-01-02,2022-02-26,8 wk ahead inc case,point,NA,6320
IE,2022-01-02,2022-03-05,9 wk ahead inc case,point,NA,6161
IE,2022-01-02,2022-03-12,10 wk ahead inc case,point,NA,6028
IE,2022-01-02,2022-03-19,11 wk ahead inc case,point,NA,5904
IE,2022-01-02,2022-03-26,12 wk ahead inc case,point,NA,5781
IE,2022-01-02,2022-04-02,13 wk ahead inc case,point,NA,5653
IE,2022-01-02,2022-04-09,14 wk ahead inc case,point,NA,5516
IE,2022-01-02,2022-04-16,15 wk ahead inc case,point,NA,5364
IE,2022-01-02,2022-04-23,16 wk ahead inc case,point,NA,5196
IE,2022-01-02,2022-04-30,17 wk ahead inc case,point,NA,5010
IE,2022-01-02,2022-05-07,18 wk ahead inc case,point,NA,4807
IE,2022-01-02,2022-05-14,19 wk ahead inc case,point,NA,4588
IE,2022-01-02,2022-01-08,1 wk ahead inc death,point,NA,3
IE,2022-01-02,2022-01-15,2 wk ahead inc death,point,NA,3
IE,2022-01-02,2022-01-22,3 wk ahead inc death,point,NA,2
IE,2022-01-02,2022-01-29,4 wk ahead inc death,point,NA,2
IE,2022-01-02,2022-02-05,5 wk ahead inc death,point,NA,2
IE,2022-01-02,2022-02-12,6 wk ahead inc death,point,NA,2
IE,2022-01-02,2022-02-19,7 wk ahead inc death,point,NA,2
IE,2022-01-02,2022-02-26,8 wk ahead inc death,point,NA,2
IE,2022-01-02,2022-03-05,9 wk ahead inc death,point,NA,2
IE,2022-01-02,2022-03-12,10 wk ahead inc death,point,NA,1
IE,2022-01-02,2022-03-19,11 wk ahead inc death,point,NA,1
IE,2022-01-02,2022-03-26,12 wk ahead inc death,point,NA,1
IE,2022-01-02,2022-04-02,13 wk ahead inc death,point,NA,1
IE,2022-01-02,2022-04-09,14 wk ahead inc death,point,NA,1
IE,2022-01-02,2022-04-16,15 wk ahead inc death,point,NA,1
IE,2022-01-02,2022-04-23,16 wk ahead inc death,point,NA,1
IE,2022-01-02,2022-04-30,17 wk ahead inc death,point,NA,1
