date,location,location_name,value
2021-04-26,HR,Croatia,182
2021-04-25,HR,Croatia,199
2021-04-24,HR,Croatia,255
2021-04-23,HR,Croatia,255
2021-04-22,HR,Croatia,259
2021-04-21,HR,Croatia,254
2021-04-20,HR,Croatia,288
2021-04-19,HR,Croatia,207
2021-04-18,HR,Croatia,221
2021-04-17,HR,Croatia,267
2021-04-16,HR,Croatia,227
2021-04-15,HR,Croatia,250
2021-04-14,HR,Croatia,230
2021-04-13,HR,Croatia,246
2021-04-12,HR,Croatia,177
2021-04-11,HR,Croatia,208
2021-04-10,HR,Croatia,276
2021-04-09,HR,Croatia,223
2021-04-08,HR,Croatia,202
2021-04-07,HR,Croatia,219
2021-04-06,HR,Croatia,205
2021-04-05,HR,Croatia,182
2021-04-04,HR,Croatia,153
2021-04-03,HR,Croatia,199
2021-04-02,HR,Croatia,229
2021-04-01,HR,Croatia,182
2021-03-31,HR,Croatia,201
2021-03-30,HR,Croatia,179
2021-03-29,HR,Croatia,112
2021-03-28,HR,Croatia,116
2021-03-27,HR,Croatia,181
2021-03-26,HR,Croatia,149
2021-03-25,HR,Croatia,139
2021-03-24,HR,Croatia,117
2021-03-23,HR,Croatia,142
2021-03-22,HR,Croatia,92
2021-03-21,HR,Croatia,112
2021-03-20,HR,Croatia,115
2021-03-19,HR,Croatia,101
2021-03-18,HR,Croatia,104
2021-03-17,HR,Croatia,112
2021-03-16,HR,Croatia,109
2021-03-15,HR,Croatia,56
2021-03-14,HR,Croatia,92
2021-03-13,HR,Croatia,101
2021-03-12,HR,Croatia,75
2021-03-11,HR,Croatia,86
2021-03-10,HR,Croatia,90
2021-03-09,HR,Croatia,90
2021-03-08,HR,Croatia,72
2021-03-07,HR,Croatia,63
2021-03-06,HR,Croatia,76
2021-03-05,HR,Croatia,85
2021-03-04,HR,Croatia,75
2021-03-03,HR,Croatia,83
2021-03-02,HR,Croatia,73
2021-03-01,HR,Croatia,63
2021-02-28,HR,Croatia,47
2021-02-27,HR,Croatia,67
2021-02-26,HR,Croatia,54
2021-02-25,HR,Croatia,80
2021-02-24,HR,Croatia,76
2021-02-23,HR,Croatia,96
2021-02-22,HR,Croatia,44
2021-02-21,HR,Croatia,46
2021-02-20,HR,Croatia,74
2021-02-19,HR,Croatia,67
2021-02-18,HR,Croatia,68
2021-02-17,HR,Croatia,65
2021-02-16,HR,Croatia,90
2021-02-15,HR,Croatia,56
2021-02-14,HR,Croatia,50
2021-02-13,HR,Croatia,69
2021-02-12,HR,Croatia,82
2021-02-11,HR,Croatia,86
2021-02-10,HR,Croatia,62
2021-02-09,HR,Croatia,76
2021-02-08,HR,Croatia,42
2021-02-07,HR,Croatia,57
2021-02-06,HR,Croatia,106
2021-02-05,HR,Croatia,100
2021-02-04,HR,Croatia,98
2021-02-03,HR,Croatia,99
2021-02-02,HR,Croatia,121
2021-02-01,HR,Croatia,65
2021-01-31,HR,Croatia,92
2021-01-30,HR,Croatia,116
2021-01-29,HR,Croatia,99
2021-01-28,HR,Croatia,98
2021-01-27,HR,Croatia,110
2021-01-26,HR,Croatia,123
2021-01-25,HR,Croatia,77
2021-01-24,HR,Croatia,97
2021-01-23,HR,Croatia,129
2021-01-22,HR,Croatia,105
2021-01-21,HR,Croatia,122
2021-01-20,HR,Croatia,120
2021-01-19,HR,Croatia,157
2021-01-18,HR,Croatia,90
2021-01-17,HR,Croatia,86
2021-01-16,HR,Croatia,124
2021-01-15,HR,Croatia,137
2021-01-14,HR,Croatia,147
2021-01-13,HR,Croatia,161
2021-01-12,HR,Croatia,186
2021-01-11,HR,Croatia,131
2021-01-10,HR,Croatia,145
2021-01-09,HR,Croatia,172
2021-01-08,HR,Croatia,215
2021-01-07,HR,Croatia,144
2021-01-06,HR,Croatia,182
2021-01-05,HR,Croatia,217
2021-01-04,HR,Croatia,128
2021-01-03,HR,Croatia,172
2021-01-02,HR,Croatia,105
2021-01-01,HR,Croatia,241
2020-12-31,HR,Croatia,253
2020-12-30,HR,Croatia,345
2020-12-29,HR,Croatia,247
2020-12-28,HR,Croatia,157
2020-12-27,HR,Croatia,199
2020-12-26,HR,Croatia,176
2020-12-25,HR,Croatia,259
2020-12-24,HR,Croatia,281
2020-12-23,HR,Croatia,273
2020-12-22,HR,Croatia,291
2020-12-21,HR,Croatia,206
2020-12-20,HR,Croatia,241
2020-12-19,HR,Croatia,287
2020-12-18,HR,Croatia,350
2020-12-17,HR,Croatia,332
2020-12-16,HR,Croatia,359
2020-12-15,HR,Croatia,340
2020-12-14,HR,Croatia,258
2020-12-13,HR,Croatia,258
2020-12-12,HR,Croatia,383
2020-12-11,HR,Croatia,361
2020-12-10,HR,Croatia,358
2020-12-09,HR,Croatia,377
2020-12-08,HR,Croatia,343
2020-12-07,HR,Croatia,254
2020-12-06,HR,Croatia,265
2020-12-05,HR,Croatia,332
2020-12-04,HR,Croatia,332
2020-12-03,HR,Croatia,333
2020-12-02,HR,Croatia,328
2020-12-01,HR,Croatia,342
2020-11-30,HR,Croatia,260
2020-11-29,HR,Croatia,225
2020-11-28,HR,Croatia,280
2020-11-27,HR,Croatia,301
2020-11-26,HR,Croatia,275
2020-11-25,HR,Croatia,288
2020-11-24,HR,Croatia,265
2020-11-23,HR,Croatia,169
2020-11-22,HR,Croatia,198
2020-11-21,HR,Croatia,239
2020-11-20,HR,Croatia,279
2020-11-19,HR,Croatia,202
2020-11-18,HR,Croatia,266
2020-11-17,HR,Croatia,257
2020-11-16,HR,Croatia,166
2020-11-15,HR,Croatia,214
2020-11-14,HR,Croatia,249
2020-11-13,HR,Croatia,233
2020-11-12,HR,Croatia,211
2020-11-11,HR,Croatia,213
2020-11-10,HR,Croatia,234
2020-11-09,HR,Croatia,161
2020-11-08,HR,Croatia,183
2020-11-07,HR,Croatia,248
2020-11-06,HR,Croatia,174
2020-11-05,HR,Croatia,201
2020-11-04,HR,Croatia,190
2020-11-03,HR,Croatia,173
2020-11-02,HR,Croatia,131
2020-11-01,HR,Croatia,149
2020-10-31,HR,Croatia,180
2020-10-30,HR,Croatia,170
2020-10-29,HR,Croatia,175
2020-10-28,HR,Croatia,155
2020-10-27,HR,Croatia,153
2020-10-26,HR,Croatia,102
2020-10-25,HR,Croatia,153
2020-10-24,HR,Croatia,148
2020-10-23,HR,Croatia,125
2020-10-22,HR,Croatia,117
2020-10-21,HR,Croatia,117
2020-10-20,HR,Croatia,90
2020-10-19,HR,Croatia,71
2020-10-18,HR,Croatia,63
2020-10-17,HR,Croatia,111
2020-10-16,HR,Croatia,117
2020-10-15,HR,Croatia,72
2020-10-14,HR,Croatia,64
2020-10-13,HR,Croatia,54
2020-10-12,HR,Croatia,42
2020-10-11,HR,Croatia,31
2020-10-10,HR,Croatia,52
2020-10-09,HR,Croatia,58
2020-10-08,HR,Croatia,49
2020-10-07,HR,Croatia,52
2020-10-06,HR,Croatia,52
2020-10-05,HR,Croatia,45
2020-10-04,HR,Croatia,33
2020-10-03,HR,Croatia,41
2020-10-02,HR,Croatia,40
2020-10-01,HR,Croatia,31
2020-09-30,HR,Croatia,37
2020-09-29,HR,Croatia,34
2020-09-28,HR,Croatia,16
2020-09-27,HR,Croatia,22
2020-09-26,HR,Croatia,37
2020-09-25,HR,Croatia,31
2020-09-24,HR,Croatia,23
2020-09-23,HR,Croatia,34
2020-09-22,HR,Croatia,28
2020-09-21,HR,Croatia,30
2020-09-20,HR,Croatia,18
2020-09-19,HR,Croatia,35
2020-09-18,HR,Croatia,17
2020-09-17,HR,Croatia,34
2020-09-16,HR,Croatia,30
2020-09-15,HR,Croatia,20
2020-09-14,HR,Croatia,17
2020-09-13,HR,Croatia,18
2020-09-12,HR,Croatia,36
2020-09-11,HR,Croatia,31
2020-09-10,HR,Croatia,42
2020-09-09,HR,Croatia,33
2020-09-08,HR,Croatia,35
2020-09-07,HR,Croatia,24
2020-09-06,HR,Croatia,27
2020-09-05,HR,Croatia,41
2020-09-04,HR,Croatia,41
2020-09-03,HR,Croatia,33
2020-09-02,HR,Croatia,33
2020-09-01,HR,Croatia,31
2020-08-31,HR,Croatia,28
2020-08-30,HR,Croatia,28
2020-08-29,HR,Croatia,24
2020-08-28,HR,Croatia,33
2020-08-27,HR,Croatia,37
2020-08-26,HR,Croatia,26
2020-08-25,HR,Croatia,25
2020-08-24,HR,Croatia,16
2020-08-23,HR,Croatia,24
2020-08-22,HR,Croatia,17
2020-08-21,HR,Croatia,11
2020-08-20,HR,Croatia,11
2020-08-19,HR,Croatia,19
2020-08-18,HR,Croatia,12
2020-08-17,HR,Croatia,4
2020-08-16,HR,Croatia,13
2020-08-15,HR,Croatia,22
2020-08-14,HR,Croatia,7
2020-08-13,HR,Croatia,8
2020-08-12,HR,Croatia,7
2020-08-11,HR,Croatia,5
2020-08-10,HR,Croatia,8
2020-08-09,HR,Croatia,6
2020-08-08,HR,Croatia,11
2020-08-07,HR,Croatia,20
2020-08-06,HR,Croatia,9
2020-08-05,HR,Croatia,6
2020-08-04,HR,Croatia,7
2020-08-03,HR,Croatia,5
2020-08-02,HR,Croatia,14
2020-08-01,HR,Croatia,18
2020-07-31,HR,Croatia,9
