location_name,location,date,value,source,snapshot_date,status
Cyprus,CY,2020-05-16,1,ECDC,2024-09-06,final
Cyprus,CY,2020-05-23,2,ECDC,2024-09-06,final
Cyprus,CY,2020-05-30,1,ECDC,2024-09-06,final
Cyprus,CY,2020-06-06,1,ECDC,2024-09-06,final
Cyprus,CY,2020-06-13,1,ECDC,2024-09-06,final
Cyprus,CY,2020-06-20,1,ECDC,2024-09-06,final
Cyprus,CY,2020-06-27,2,ECDC,2024-09-06,final
Cyprus,CY,2020-07-18,1,ECDC,2024-09-06,final
Cyprus,CY,2020-07-25,1,ECDC,2024-09-06,final
Cyprus,CY,2020-08-01,8,ECDC,2024-09-06,final
Cyprus,CY,2020-08-08,4,ECDC,2024-09-06,final
Cyprus,CY,2020-08-15,2,ECDC,2024-09-06,final
Cyprus,CY,2020-08-22,3,ECDC,2024-09-06,final
Cyprus,CY,2020-08-29,6,ECDC,2024-09-06,final
Cyprus,CY,2020-09-05,1,ECDC,2024-09-06,final
Cyprus,CY,2020-09-12,2,ECDC,2024-09-06,final
Cyprus,CY,2020-09-19,6,ECDC,2024-09-06,final
Cyprus,CY,2020-09-26,15,ECDC,2024-09-06,final
Cyprus,CY,2020-10-03,4,ECDC,2024-09-06,final
Cyprus,CY,2020-10-10,5,ECDC,2024-09-06,final
Cyprus,CY,2020-10-17,29,ECDC,2024-09-06,final
Cyprus,CY,2020-10-24,32,ECDC,2024-09-06,final
Cyprus,CY,2020-10-31,36,ECDC,2024-09-06,final
Cyprus,CY,2020-11-07,67,ECDC,2024-09-06,final
Cyprus,CY,2020-11-14,59,ECDC,2024-09-06,final
Cyprus,CY,2020-11-21,73,ECDC,2024-09-06,final
Cyprus,CY,2020-11-28,82,ECDC,2024-09-06,final
Cyprus,CY,2020-12-05,74,ECDC,2024-09-06,final
Cyprus,CY,2020-12-12,75,ECDC,2024-09-06,final
Cyprus,CY,2020-12-19,96,ECDC,2024-09-06,final
Cyprus,CY,2020-12-26,107,ECDC,2024-09-06,final
Cyprus,CY,2021-01-02,127,ECDC,2024-09-06,final
Cyprus,CY,2021-01-09,141,ECDC,2024-09-06,final
Cyprus,CY,2021-01-16,121,ECDC,2024-09-06,final
Cyprus,CY,2021-01-23,93,ECDC,2024-09-06,final
Cyprus,CY,2021-01-30,70,ECDC,2024-09-06,final
Cyprus,CY,2021-02-06,70,ECDC,2024-09-06,final
Cyprus,CY,2021-02-13,57,ECDC,2024-09-06,final
Cyprus,CY,2021-02-20,67,ECDC,2024-09-06,final
Cyprus,CY,2021-02-27,57,ECDC,2024-09-06,final
Cyprus,CY,2021-03-06,105,ECDC,2024-09-06,final
Cyprus,CY,2021-03-13,174,ECDC,2024-09-06,final
Cyprus,CY,2021-03-20,162,ECDC,2024-09-06,final
Cyprus,CY,2021-03-27,138,ECDC,2024-09-06,final
Cyprus,CY,2021-04-03,167,ECDC,2024-09-06,final
Cyprus,CY,2021-04-10,178,ECDC,2024-09-06,final
Cyprus,CY,2021-04-17,205,ECDC,2024-09-06,final
Cyprus,CY,2021-04-24,255,ECDC,2024-09-06,final
Cyprus,CY,2021-05-01,224,ECDC,2024-09-06,final
Cyprus,CY,2021-05-08,180,ECDC,2024-09-06,final
Cyprus,CY,2021-05-15,110,ECDC,2024-09-06,final
Cyprus,CY,2021-05-22,67,ECDC,2024-09-06,final
Cyprus,CY,2021-05-29,39,ECDC,2024-09-06,final
Cyprus,CY,2021-06-05,22,ECDC,2024-09-06,final
Cyprus,CY,2021-06-12,20,ECDC,2024-09-06,final
Cyprus,CY,2021-06-19,35,ECDC,2024-09-06,final
Cyprus,CY,2021-06-26,33,ECDC,2024-09-06,final
Cyprus,CY,2021-07-03,75,ECDC,2024-09-06,final
Cyprus,CY,2021-07-10,140,ECDC,2024-09-06,final
Cyprus,CY,2021-07-17,194,ECDC,2024-09-06,final
Cyprus,CY,2021-07-24,243,ECDC,2024-09-06,final
Cyprus,CY,2021-07-31,226,ECDC,2024-09-06,final
Cyprus,CY,2021-08-07,203,ECDC,2024-09-06,final
Cyprus,CY,2021-08-14,149,ECDC,2024-09-06,final
Cyprus,CY,2021-08-21,123,ECDC,2024-09-06,final
Cyprus,CY,2021-08-28,92,ECDC,2024-09-06,final
Cyprus,CY,2021-09-04,92,ECDC,2024-09-06,final
Cyprus,CY,2021-09-11,77,ECDC,2024-09-06,final
Cyprus,CY,2021-09-18,54,ECDC,2024-09-06,final
Cyprus,CY,2021-09-25,40,ECDC,2024-09-06,final
Cyprus,CY,2021-10-02,31,ECDC,2024-09-06,final
Cyprus,CY,2021-10-09,29,ECDC,2024-09-06,final
Cyprus,CY,2021-10-16,37,ECDC,2024-09-06,final
Cyprus,CY,2021-10-23,33,ECDC,2024-09-06,final
Cyprus,CY,2021-10-30,43,ECDC,2024-09-06,final
Cyprus,CY,2021-11-06,40,ECDC,2024-09-06,final
Cyprus,CY,2021-11-13,59,ECDC,2024-09-06,final
Cyprus,CY,2021-11-20,68,ECDC,2024-09-06,final
Cyprus,CY,2021-11-27,72,ECDC,2024-09-06,final
Cyprus,CY,2021-12-04,82,ECDC,2024-09-06,final
Cyprus,CY,2021-12-11,111,ECDC,2024-09-06,final
Cyprus,CY,2021-12-18,127,ECDC,2024-09-06,final
Cyprus,CY,2021-12-25,108,ECDC,2024-09-06,final
Cyprus,CY,2022-01-01,153,ECDC,2024-09-06,final
Cyprus,CY,2022-01-08,216,ECDC,2024-09-06,final
