location,location_name,epi_year,epi_week,date,inc_case,inc_death,inc_hosp
IS,Iceland,2020,49,2020-12-05,105,1,1
IT,Italy,2020,49,2020-12-05,145459,5151,10746
LI,Liechtenstein,2020,49,2020-12-05,133,1,NA
LT,Lithuania,2020,49,2020-12-05,14252,195,NA
LU,Luxembourg,2020,49,2020-12-05,3608,45,NA
LV,Latvia,2020,49,2020-12-05,4226,60,519
MT,Malta,2020,49,2020-12-05,814,17,80
NL,Netherlands,2020,49,2020-12-05,37120,336,1154
NO,Norway,2020,49,2020-12-05,2527,26,101
PL,Poland,2020,49,2020-12-05,80680,3115,1224
PT,Portugal,2020,49,2020-12-05,27934,513,495
RO,Romania,2020,49,2020-12-05,42363,1141,NA
SE,Sweden,2020,49,2020-12-05,35783,386,NA
SI,Slovenia,2020,49,2020-12-05,10518,364,822
SK,Slovakia,2020,49,2020-12-05,10830,183,NA
AT,Austria,2020,50,2020-12-12,19133,658,NA
BE,Belgium,2020,50,2020-12-12,13217,538,1274
BG,Bulgaria,2020,50,2020-12-12,18108,897,NA
CH,Switzerland,2020,50,2020-12-12,29334,643,70
CY,Cyprus,2020,50,2020-12-12,2664,18,81
CZ,Czechia,2020,50,2020-12-12,31243,635,7179
DE,Germany,2020,50,2020-12-12,152461,3061,NA
DK,Denmark,2020,50,2020-12-12,18258,57,471
EE,Estonia,2020,50,2020-12-12,3213,22,165
ES,Spain,2020,50,2020-12-12,45928,1372,NA
FI,Finland,2020,50,2020-12-12,3232,38,NA
FR,France,2020,50,2020-12-12,82851,2774,8692
GB,United Kingdom,2020,50,2020-12-12,124985,3012,12200
GR,Greece,2020,50,2020-12-12,9274,638,NA
HR,Croatia,2020,50,2020-12-12,25069,460,2341
HU,Hungary,2020,50,2020-12-12,32666,1078,NA
IE,Ireland,2020,50,2020-12-12,1808,24,79
IS,Iceland,2020,50,2020-12-12,76,1,1
IT,Italy,2020,50,2020-12-12,115784,4522,9374
LI,Liechtenstein,2020,50,2020-12-12,130,3,NA
LT,Lithuania,2020,50,2020-12-12,17949,219,NA
LU,Luxembourg,2020,50,2020-12-12,3738,47,NA
LV,Latvia,2020,50,2020-12-12,4259,71,661
MT,Malta,2020,50,2020-12-12,678,17,38
NL,Netherlands,2020,50,2020-12-12,53158,357,1338
NO,Norway,2020,50,2020-12-12,2730,33,90
PL,Poland,2020,50,2020-12-12,72427,2815,1164
PT,Portugal,2020,50,2020-12-12,26060,585,468
RO,Romania,2020,50,2020-12-12,43555,1078,NA
SE,Sweden,2020,50,2020-12-12,41186,447,NA
SI,Slovenia,2020,50,2020-12-12,10706,341,860
SK,Slovakia,2020,50,2020-12-12,15332,167,NA
AT,Austria,2020,51,2020-12-19,17387,794,NA
BE,Belgium,2020,51,2020-12-19,20601,753,1345
BG,Bulgaria,2020,51,2020-12-19,12077,925,NA
CH,Switzerland,2020,51,2020-12-19,30158,666,70
CY,Cyprus,2020,51,2020-12-19,2581,13,97
CZ,Czechia,2020,51,2020-12-19,43414,821,7565
DE,Germany,2020,51,2020-12-19,172417,4271,NA
DK,Denmark,2020,51,2020-12-19,24490,84,752
EE,Estonia,2020,51,2020-12-19,3506,22,221
ES,Spain,2020,51,2020-12-19,66661,1302,NA
FI,Finland,2020,51,2020-12-19,2403,36,NA
FR,France,2020,51,2020-12-19,94099,2652,8872
GB,United Kingdom,2020,51,2020-12-19,173263,3049,14275
GR,Greece,2020,51,2020-12-19,6643,562,NA
HR,Croatia,2020,51,2020-12-19,20464,539,2184
HU,Hungary,2020,51,2020-12-19,23775,1130,NA
IE,Ireland,2020,51,2020-12-19,3020,31,124
