location,type,quantile,target_end_date,forecast_date,target,value
NL,quantile,0.975,2021-05-15,2021-05-10,1 wk ahead inc case,57041
NL,quantile,0.99,2021-05-15,2021-05-10,1 wk ahead inc case,58550
NL,quantile,0.01,2021-05-22,2021-05-10,2 wk ahead inc case,38889
NL,quantile,0.025,2021-05-22,2021-05-10,2 wk ahead inc case,40660
NL,quantile,0.05,2021-05-22,2021-05-10,2 wk ahead inc case,41731
NL,quantile,0.1,2021-05-22,2021-05-10,2 wk ahead inc case,43498
NL,quantile,0.15,2021-05-22,2021-05-10,2 wk ahead inc case,44509
NL,quantile,0.2,2021-05-22,2021-05-10,2 wk ahead inc case,45382
NL,quantile,0.25,2021-05-22,2021-05-10,2 wk ahead inc case,46196
NL,quantile,0.3,2021-05-22,2021-05-10,2 wk ahead inc case,46831
NL,quantile,0.35,2021-05-22,2021-05-10,2 wk ahead inc case,47424
NL,quantile,0.4,2021-05-22,2021-05-10,2 wk ahead inc case,47978
NL,quantile,0.45,2021-05-22,2021-05-10,2 wk ahead inc case,48570
NL,quantile,0.5,2021-05-22,2021-05-10,2 wk ahead inc case,49138
NL,quantile,0.55,2021-05-22,2021-05-10,2 wk ahead inc case,49735
NL,quantile,0.6,2021-05-22,2021-05-10,2 wk ahead inc case,50361
NL,quantile,0.65,2021-05-22,2021-05-10,2 wk ahead inc case,51043
NL,quantile,0.7,2021-05-22,2021-05-10,2 wk ahead inc case,51753
NL,quantile,0.75,2021-05-22,2021-05-10,2 wk ahead inc case,52445
NL,quantile,0.8,2021-05-22,2021-05-10,2 wk ahead inc case,53381
NL,quantile,0.85,2021-05-22,2021-05-10,2 wk ahead inc case,54387
NL,quantile,0.9,2021-05-22,2021-05-10,2 wk ahead inc case,55772
NL,quantile,0.95,2021-05-22,2021-05-10,2 wk ahead inc case,57665
NL,quantile,0.975,2021-05-22,2021-05-10,2 wk ahead inc case,59252
NL,quantile,0.99,2021-05-22,2021-05-10,2 wk ahead inc case,61201
NL,quantile,0.01,2021-05-29,2021-05-10,3 wk ahead inc case,34514
NL,quantile,0.025,2021-05-29,2021-05-10,3 wk ahead inc case,36429
NL,quantile,0.05,2021-05-29,2021-05-10,3 wk ahead inc case,38005
NL,quantile,0.1,2021-05-29,2021-05-10,3 wk ahead inc case,40241
NL,quantile,0.15,2021-05-29,2021-05-10,3 wk ahead inc case,41772
NL,quantile,0.2,2021-05-29,2021-05-10,3 wk ahead inc case,42982
NL,quantile,0.25,2021-05-29,2021-05-10,3 wk ahead inc case,44003
NL,quantile,0.3,2021-05-29,2021-05-10,3 wk ahead inc case,44873
NL,quantile,0.35,2021-05-29,2021-05-10,3 wk ahead inc case,45762
NL,quantile,0.4,2021-05-29,2021-05-10,3 wk ahead inc case,46660
NL,quantile,0.45,2021-05-29,2021-05-10,3 wk ahead inc case,47483
NL,quantile,0.5,2021-05-29,2021-05-10,3 wk ahead inc case,48295
NL,quantile,0.55,2021-05-29,2021-05-10,3 wk ahead inc case,49117
NL,quantile,0.6,2021-05-29,2021-05-10,3 wk ahead inc case,49953
NL,quantile,0.65,2021-05-29,2021-05-10,3 wk ahead inc case,50934
NL,quantile,0.7,2021-05-29,2021-05-10,3 wk ahead inc case,51983
NL,quantile,0.75,2021-05-29,2021-05-10,3 wk ahead inc case,53037
NL,quantile,0.8,2021-05-29,2021-05-10,3 wk ahead inc case,54284
NL,quantile,0.85,2021-05-29,2021-05-10,3 wk ahead inc case,55880
NL,quantile,0.9,2021-05-29,2021-05-10,3 wk ahead inc case,57745
NL,quantile,0.95,2021-05-29,2021-05-10,3 wk ahead inc case,60861
NL,quantile,0.975,2021-05-29,2021-05-10,3 wk ahead inc case,64136
NL,quantile,0.99,2021-05-29,2021-05-10,3 wk ahead inc case,66985
NL,quantile,0.01,2021-06-05,2021-05-10,4 wk ahead inc case,30722
NL,quantile,0.025,2021-06-05,2021-05-10,4 wk ahead inc case,32925
NL,quantile,0.05,2021-06-05,2021-05-10,4 wk ahead inc case,35047
NL,quantile,0.1,2021-06-05,2021-05-10,4 wk ahead inc case,37644
NL,quantile,0.15,2021-06-05,2021-05-10,4 wk ahead inc case,39534
NL,quantile,0.2,2021-06-05,2021-05-10,4 wk ahead inc case,40921
NL,quantile,0.25,2021-06-05,2021-05-10,4 wk ahead inc case,42287
NL,quantile,0.3,2021-06-05,2021-05-10,4 wk ahead inc case,43451
NL,quantile,0.35,2021-06-05,2021-05-10,4 wk ahead inc case,44621
NL,quantile,0.4,2021-06-05,2021-05-10,4 wk ahead inc case,45819
NL,quantile,0.45,2021-06-05,2021-05-10,4 wk ahead inc case,46931
NL,quantile,0.5,2021-06-05,2021-05-10,4 wk ahead inc case,48144
NL,quantile,0.55,2021-06-05,2021-05-10,4 wk ahead inc case,49252
