forecast_date,target,target_end_date,horizon,location,type,quantile,value
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.15,240
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.2,245
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.25,249
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.3,254
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.35,258
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.4,262
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.45,266
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.5,270
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.55,274
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.6,279
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.8,299
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.85,305
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.9,314
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.95,327
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.975,341
2024-02-19,3 wk ahead inc hosp,2024-03-02,3,NL,quantile,0.99,355
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.55,259
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.6,264
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.65,269
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.7,274
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.75,281
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.8,287
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.85,295
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.45,250
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.5,254
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.9,305
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.95,320
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.975,335
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,NL,quantile,0.99,355
